FIT	CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
hag	7.7	ala	3	1.11568	7.25732	0.324519	61.0482	17.7172	15	0.754197	0.14172	0.0165604	0.0198289	0.00131996	0.000112218	1.18107e-05	0.161661	0.0178922	0.230957	0.029063	0.0890254	0.006161	0.000121136	1.27189e-05	0.320104	0.0352367	0.0538265	0.00638662	0.00863461	0.000575528	2.73076e-05	1.18107e-05	0.0624884	0.00697396	0.0894596	0.0114874	0.00863461	0.000575528	2.73076e-05	2.83848e-06	0.0981215	0.0120658	32767	0
bis	7.7	ala	4	1.11568	0.774769	0.0310523	0.0320245	0.0122333	2.18756	0.980789	3.97236e+15	5.60534e+16	0.0939482	0.0130683	0.015216	14.7441	3.50094e-06	0.0153877	0.109168	14.7726	0.157064	0.0235706	0.0806698	74.2594	3.82309e-06	0.0167694	0.237737	74.2997	0.0360046	0.00508766	0.0066552	6.44097	8.98365e-07	0.0153877	0.0426607	6.46144	0.0613923	0.00939719	0.0066552	6.44097	8.98365e-07	0.00391599	0.0680484	6.45428	110	11
tan	7.7	ala	4	1.11568	0.495664	0.0370304	0.0884767	0.0100108	0.0100004	4.3543	115333	178110	0.0939482	0.0130683	0.00529168	0.00141567	1.09636e-05	2.61233e-06	0.0992508	0.0144866	0.157064	0.0235706	0.0193527	0.00643142	1.19371e-05	2.84005e-06	0.176428	0.0300048	0.0360046	0.00508766	0.00229023	0.000616979	2.77922e-06	2.61233e-06	0.0382976	0.00570725	0.0613923	0.00939719	0.00229023	0.000616979	2.77922e-06	6.58046e-07	0.0636853	0.0100148	0	53673968
hag	7.7	ala	4	1.11568	8.49058	0.448307	112.544	40.524	15	0.731493	0.0939482	0.0130683	0.0148672	0.0103628	4.99384e-05	4.37646e-05	0.108865	0.0234748	0.157064	0.0235706	0.067529	0.0468079	5.39696e-05	4.72822e-05	0.224647	0.0704258	0.0360046	0.00508766	0.00647653	0.00451347	1.22221e-05	4.37646e-05	0.0424933	0.00964489	0.0613923	0.00939719	0.00647653	0.00451347	1.22221e-05	1.06936e-05	0.0678811	0.0139214	32767	0
bis	7.7	ala	5	1.11568	0.721182	0.0330486	0.0503706	0.0100982	1.87744	0.656066	2.85979e+09	1.38658e+10	0.0465183	0.00662573	0.00664627	0.0141405	3.38686e-06	3.05049e-05	0.0531679	0.0207967	0.0787759	0.0122317	0.0317869	0.0675573	3.69277e-06	3.31862e-05	0.110567	0.0798223	0.0179402	0.0026042	0.00289913	0.00616817	8.63546e-07	3.05049e-05	0.0208402	0.00880287	0.0309553	0.00491435	0.00289913	0.00616817	8.63546e-07	7.70534e-06	0.0338553	0.0110902	59	45
tan	7.7	ala	5	1.11568	0.604085	0.0254155	0.08	0.0178374	0.898095	0.436723	316070	45785.4	0.0465183	0.00662573	0.00444071	0.0017136	5.27757e-06	4.03923e-06	0.0509643	0.00834337	0.0787759	0.0122317	0.0185455	0.00859946	5.74601e-06	4.3947e-06	0.0973272	0.0208356	0.0179402	0.0026042	0.00192937	0.000749133	1.33751e-06	4.03923e-06	0.019871	0.00335737	0.0309553	0.00491435	0.00192937	0.000749133	1.33751e-06	1.02066e-06	0.032886	0.0056645	0	53673968
hag	7.7	ala	5	1.11568	9.54412	0.481192	128.835	46.4307	15	0.729545	0.0465183	0.00662573	0.00822101	0.00585151	1.87962e-05	1.65611e-05	0.0547581	0.0124938	0.0787759	0.0122317	0.0376734	0.0266731	2.03297e-05	1.79073e-05	0.11647	0.0389228	0.0179402	0.0026042	0.00358234	0.00254938	4.61807e-06	1.65611e-05	0.0215272	0.00517014	0.0309553	0.00491435	0.00358234	0.00254938	4.61807e-06	4.06326e-06	0.0345423	0.00746779	32767	0
bis	7.7	ala	6	1.11568	0.671383	0.0697922	0.0573033	0.0208029	2.85098	1.8321	4.92754e+07	3.82926e+08	0.0110105	0.00307122	0.00245709	0.00290658	1.31078e-05	3.23044e-05	0.0134807	0.0060101	0.0200406	0.00576599	0.0123342	0.0153315	1.50909e-05	3.70255e-05	0.0323899	0.0211345	0.00436145	0.00122271	0.00107357	0.0012718	3.88043e-06	3.23044e-05	0.0054389	0.00252681	0.00806407	0.00233526	0.00107357	0.0012718	3.88043e-06	9.46022e-06	0.00914151	0.00361652	20	14
tan	7.7	ala	6	1.11568	0.603772	0.076516	0.0800001	0.114132	2.42353	1.83564	105430	29911.7	0.0110105	0.00307122	0.00206	0.00085863	1.60887e-05	7.90463e-06	0.0130866	0.00393776	0.0200406	0.00576599	0.00969454	0.0046628	1.84779e-05	9.02546e-06	0.0297536	0.0104378	0.00436145	0.00122271	0.000898384	0.000376262	4.73519e-06	7.90463e-06	0.00526457	0.00160688	0.00806407	0.00233526	0.000898384	0.000376262	4.73519e-06	2.29367e-06	0.00896719	0.00271382	0	53673968
hag	7.7	ala	6	1.11568	10.9855	1.94654	82.2858	132.245	15	8.33786	0.0110105	0.00307122	0.00204694	0.00540402	2.46069e-05	7.60524e-05	0.013082	0.0085513	0.0200406	0.00576599	0.00948644	0.0249174	2.80511e-05	8.66522e-05	0.0295551	0.0307701	0.00436145	0.00122271	0.00089231	0.00235536	7.09959e-06	7.60524e-05	0.00526086	0.00365412	0.00806407	0.00233526	0.00089231	0.00235536	7.09959e-06	2.19115e-05	0.00896348	0.00471253	32767	0
