FIT	CollEn	particle	centrality	mass	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
hag	200	pba	1	0.93827	17.4137	0.469968	0.960073	0.00424699	2.50429	0.0174964	20.8781	0.491711	27.0549	0.689793	4.64864	0.0203673	2.81294	0.0194913	34.5165	0.729652	7.84245	0.206516	0.50017	0.00221205	0.784775	0.0174964	9.1274	0.226225	12.3295	0.306373	0.50017	0.00221205	0.784775	0.00531033	13.6144	0.313895	299	4
bis	200	pba	2	0.93827	13.4865	0.34136	0.597949	0.00869697	1.35138	0.0675891	15.4358	0.417646	21.0057	0.501929	2.79534	0.0480924	1.56839	0.0759507	25.3694	0.625972	6.07892	0.150142	0.311262	0.00454547	0.474346	0.0675891	6.86453	0.222276	9.58178	0.223141	0.311262	0.00454547	0.474346	0.0218161	10.3674	0.249503	234	5
tan	200	pba	2	0.93827	13.4865	0.34136	0.597356	0.00606807	1.33223	0.0292455	15.4161	0.376674	21.0057	0.501929	2.79197	0.0312961	1.54725	0.0334329	25.3449	0.566658	6.07892	0.150142	0.310951	0.0031662	0.468503	0.0292455	6.85837	0.182554	9.58178	0.223141	0.310951	0.0031662	0.468503	0.0098924	10.3612	0.2362	234	5
hag	200	pba	2	0.93827	13.4865	0.34136	0.769577	0.00318462	1.77597	0.0112408	16.032	0.355785	21.0057	0.501929	3.73398	0.0153104	2.00024	0.0125658	26.7399	0.529805	6.07892	0.150142	0.400946	0.00165881	0.562222	0.0112408	7.04209	0.163042	9.58178	0.223141	0.400946	0.00165881	0.562222	0.00345985	10.5449	0.22826	234	5
bis	200	pba	3	0.93827	9.63455	0.239995	0.473831	0.00923145	0.823758	0.0584134	10.9321	0.30764	15.1073	0.356062	2.23949	0.0521538	0.961175	0.0661725	18.308	0.474389	4.35368	0.10594	0.246713	0.00482763	0.293059	0.0584134	4.89345	0.169181	6.90959	0.158938	0.246713	0.00482763	0.293059	0.0193606	7.44936	0.183126	168	5
tan	200	pba	3	0.93827	9.63455	0.239995	0.471417	0.0414403	0.883823	0.0888947	10.9898	0.37033	15.1073	0.356062	2.22413	0.209647	1.02764	0.101171	18.3591	0.666881	4.35368	0.10594	0.245447	0.0216125	0.311645	0.0888947	4.91077	0.216447	6.90959	0.158938	0.245447	0.0216125	0.311645	0.0297451	7.46668	0.210296	168	5
hag	200	pba	3	0.93827	9.63455	0.239995	0.586328	0.00248223	1.18018	0.00738155	11.4011	0.249859	15.1073	0.356062	2.85176	0.0119683	1.33305	0.00828216	19.2921	0.376313	4.35368	0.10594	0.305492	0.00129304	0.37757	0.00738155	5.03674	0.114615	6.90959	0.158938	0.305492	0.00129304	0.37757	0.00230495	7.59265	0.162536	168	5
bis	200	pba	4	0.93827	6.60955	0.167011	0.352079	0.0333821	0.451	0.0459628	7.41263	0.246356	10.4406	0.250262	1.66814	0.168462	0.529139	0.052818	12.6379	0.471542	2.99503	0.0740063	0.183331	0.0174088	0.16247	0.0459628	3.34083	0.137378	4.78899	0.112197	0.183331	0.0174088	0.16247	0.0158139	5.13479	0.14542	117	5
tan	200	pba	4	0.93827	6.60955	0.167011	0.349387	0.00612192	0.485771	0.0274567	7.4447	0.200589	10.4406	0.250262	1.65069	0.0343824	0.567934	0.0311289	12.6592	0.315774	2.99503	0.0740063	0.181919	0.00320084	0.173532	0.0274567	3.35048	0.104664	4.78899	0.112197	0.181919	0.00320084	0.173532	0.00911021	5.14444	0.124508	117	5
hag	200	pba	4	0.93827	6.60955	0.167011	0.431485	0.00194336	0.75611	0.00486276	7.79714	0.173817	10.4406	0.250262	2.10406	0.00939907	0.856438	0.00547553	13.4011	0.265137	2.99503	0.0740063	0.224829	0.00101241	0.244303	0.00486276	3.46416	0.0798814	4.78899	0.112197	0.224829	0.00101241	0.244303	0.00153887	5.25812	0.114749	117	5
bis	200	pba	5	0.93827	4.41104	0.115108	0.274111	0.0182793	0.246721	0.0210396	4.93187	0.154427	7.04002	0.174771	1.32072	0.0939958	0.291003	0.0243351	8.65174	0.293102	2.00634	0.0512621	0.142787	0.00953667	0.0899262	0.0210396	2.23906	0.0818384	3.24183	0.0787911	0.142787	0.00953667	0.0899262	0.00736143	3.47454	0.0956892	78	5
tan	200	pba	5	0.93827	4.41104	0.115108	0.269372	0.0683265	0.28748	0.110608	4.96789	0.294043	7.04002	0.174771	1.29034	0.354458	0.336735	0.127216	8.6671	0.656445	2.00634	0.0512621	0.140301	0.0356565	0.103135	0.110608	2.24978	0.197527	3.24183	0.0787911	0.140301	0.0356565	0.103135	0.0380686	3.48526	0.152516	78	5
hag	200	pba	5	0.93827	4.41104	0.115108	0.310049	0.00150712	0.475267	0.00319517	5.19636	0.119811	7.04002	0.174771	1.51585	0.00731208	0.539716	0.00360959	9.09559	0.185693	2.00634	0.0512621	0.161563	0.000785205	0.154925	0.00319517	2.32283	0.0552425	3.24183	0.0787911	0.161563	0.000785205	0.154925	0.00102318	3.55832	0.0805995	78	5
bis	200	pba	6	0.93827	2.80701	0.076695	0.185612	0.00406131	0.146923	0.00991169	3.13954	0.090668	4.51611	0.117931	0.890548	0.0230368	0.172928	0.0113326	5.57959	0.152301	1.28054	0.0343147	0.0966792	0.00212396	0.0532731	0.00991169	1.43049	0.0463503	2.08589	0.0534423	0.0966792	0.00212396	0.0532731	0.0033679	2.23584	0.0589341	49	5
tan	200	pba	6	0.93827	2.80701	0.076695	0.185662	0.0045338	0.146924	0.0119026	3.13959	0.0931314	4.51611	0.117931	0.890853	0.0259037	0.172931	0.0135936	5.5799	0.157429	1.28054	0.0343147	0.0967053	0.00237153	0.053275	0.0119026	1.43052	0.0485888	2.08589	0.0534423	0.0967053	0.00237153	0.053275	0.00403322	2.23587	0.059847	49	5
hag	200	pba	6	0.93827	2.80701	0.076695	0.21073	0.00112034	0.281059	0.0020008	3.2988	0.0798161	4.51611	0.117931	1.03321	0.00545408	0.319988	0.00226761	5.86931	0.125653	1.28054	0.0343147	0.109817	0.000583738	0.0924031	0.0020008	1.48276	0.0368992	2.08589	0.0534423	0.109817	0.000583738	0.0924031	0.000647978	2.28811	0.054674	49	5
bis	200	pba	7	0.93827	1.59845	0.0485931	0.136222	0.00356337	0.0678007	0.00500757	1.80247	0.057164	2.61273	0.0760309	0.673651	0.0205346	0.0801558	0.00578054	3.36653	0.102346	0.733035	0.0218794	0.0710025	0.00186427	0.0248231	0.00500757	0.828861	0.0287512	1.21344	0.0346925	0.0710025	0.00186427	0.0248231	0.00174442	1.30927	0.0383011	29	4
tan	200	pba	7	0.93827	1.59845	0.0485931	0.133588	0.0203963	0.0784464	0.0222573	1.81048	0.0912467	2.61273	0.0760309	0.656356	0.106826	0.0921451	0.0257067	3.36123	0.208564	0.733035	0.0218794	0.06962	0.0106463	0.0283082	0.0222573	0.830964	0.0547829	1.21344	0.0346925	0.06962	0.0106463	0.0283082	0.00773685	1.31137	0.0530756	29	4
hag	200	pba	7	0.93827	1.59845	0.0485931	0.137558	0.0173564	0.111807	0.0263062	1.84781	0.0922558	2.61273	0.0760309	0.679166	0.0845319	0.128907	0.0300161	3.4208	0.190579	0.733035	0.0218794	0.071697	0.00904345	0.0383011	0.0263062	0.843034	0.0572291	1.21344	0.0346925	0.071697	0.00904345	0.0383011	0.00873278	1.32344	0.0524687	29	4
bis	200	pba	8	0.93827	0.819021	0.0308015	0.0754367	0.0206236	0.0302907	0.0189698	0.924748	0.0703949	1.35381	0.0487978	0.371872	0.109886	0.035789	0.0221106	1.76148	0.180794	0.377142	0.0139344	0.0393174	0.0107695	0.0110694	0.0189698	0.427528	0.0436737	0.631293	0.022376	0.0393174	0.0107695	0.0110694	0.0067388	0.68168	0.0398843	16	3
tan	200	pba	8	0.93827	0.819021	0.0308015	0.0753376	0.00236407	0.0293281	0.00318864	0.923686	0.0363542	1.35381	0.0487978	0.371361	0.0135567	0.0346976	0.00367034	1.75987	0.0660248	0.377142	0.0139344	0.0392656	0.00123667	0.0107487	0.00318864	0.427156	0.0183597	0.631293	0.022376	0.0392656	0.00123667	0.0107487	0.00110257	0.681308	0.0247152	16	3
hag	200	pba	8	0.93827	0.819021	0.0308015	0.078921	0.0123195	0.0437229	0.0124563	0.941665	0.0555773	1.35381	0.0487978	0.392231	0.0603862	0.0507954	0.0143433	1.79684	0.123527	0.377142	0.0139344	0.041141	0.00642	0.0153052	0.0124563	0.433588	0.0328107	0.631293	0.022376	0.041141	0.00642	0.0153052	0.00425545	0.68774	0.0330514	16	3
bis	200	eta	0	0.54786	8.50923	12.0338	0.412947	17.6962	1.07524	47.9548	9.99741	77.6849	12.5477	17.7451	1.557	74.7851	1.23572	54.2733	15.3404	146.804	10.964	15.5055	0.707173	30.5094	0.951071	47.9548	12.6223	93.9697	16.5081	23.346	0.707173	30.5094	0.951071	40.0854	18.1663	93.9408	350	3
tan	200	eta	0	0.54786	8.50923	12.0338	0.437139	5.86748	1.21651	16.3746	10.1629	34.276	12.5477	17.7451	1.68325	25.2232	1.39331	18.4455	15.6242	61.4138	10.964	15.5055	0.749431	10.1249	1.06236	16.3746	12.7758	42.005	16.5081	23.346	0.749431	10.1249	1.06236	13.4202	18.3199	46.891	350	3
hag	200	eta	0	0.54786	8.50923	12.0338	0.733019	0.233503	2.01275	1.3677	11.255	13.635	12.5477	17.7451	3.12783	0.97963	2.23663	1.50198	17.9121	20.2267	10.964	15.5055	1.2639	0.402206	1.52509	1.3677	13.753	17.2754	16.5081	23.346	1.2639	0.402206	1.52509	0.970661	19.2971	24.7188	350	3
bis	200	eta	1	0.54786	6.76734	9.57047	0.330442	0.517736	0.824333	2.08467	7.92212	12.1729	9.98882	14.1263	1.24391	2.49912	0.948111	2.34116	12.1808	18.9666	8.72607	12.3405	0.565837	0.899337	0.731224	2.08467	10.0231	15.3245	13.1521	18.5999	0.565837	0.899337	0.731224	1.69012	14.4492	21.1894	299	4
tan	200	eta	1	0.54786	6.76734	9.57047	0.35342	1.18949	0.951449	3.32119	8.07221	14.0811	9.98882	14.1263	1.36353	5.13465	1.09002	3.74585	12.4424	23.0068	8.72607	12.3405	0.60597	2.05307	0.831722	3.32119	10.1638	17.7148	13.1521	18.5999	0.60597	2.05307	0.831722	2.73562	14.5898	23.3886	299	4
hag	200	eta	1	0.54786	6.76734	9.57047	0.607367	0.194781	1.35906	0.894167	8.73377	10.6594	9.98882	14.1263	2.59982	0.819915	1.51686	0.987333	14.1055	15.9336	8.72607	12.3405	1.04744	0.335577	1.05382	0.894167	10.8273	13.5703	13.1521	18.5999	1.04744	0.335577	1.05382	0.655347	15.2534	19.5909	299	4
bis	200	eta	2	0.54786	5.09685	7.20803	0.241832	0	0.589988	0	5.92867	7.20803	7.52316	10.6393	0.901	0	0.679507	0	9.10367	10.6393	6.57213	9.29439	0.413882	0	0.525961	0	7.51197	9.29439	9.9057	14.0088	0.413882	0	0.525961	0	10.8455	14.0088	234	5
tan	200	eta	2	0.54786	5.09685	7.20803	0.26573	1.85131	0.717589	5.0992	6.08017	14.1585	7.52316	10.6393	1.02508	7.95446	0.822074	5.75472	9.37031	24.3485	6.57213	9.29439	0.455614	3.19439	0.627215	5.0992	7.65496	17.588	9.9057	14.0088	0.455614	3.19439	0.627215	4.2103	10.9885	21.4135	234	5
hag	200	eta	2	0.54786	5.09685	7.20803	0.45175	0.170819	1.36072	0.868107	6.90932	8.24696	7.52316	10.6393	1.93515	0.722566	1.49711	0.947392	10.9554	12.3093	6.57213	9.29439	0.779102	0.294378	0.966177	0.868107	8.31741	10.4569	9.9057	14.0088	0.779102	0.294378	0.966177	0.585672	11.651	14.8888	234	5
bis	200	eta	3	0.54786	3.84527	5.43805	0.185543	0.338755	0.394827	1.09214	4.42564	6.86894	5.60145	7.92165	0.71461	1.68223	0.449372	1.21668	6.76543	10.8206	4.88157	6.90359	0.318095	0.589544	0.338728	1.09214	5.5384	8.58527	7.27511	10.2886	0.318095	0.589544	0.338728	0.858405	7.93193	11.7365	168	5
tan	200	eta	3	0.54786	3.84527	5.43805	0.189523	1.46588	0.421702	3.57083	4.4565	10.4748	5.60145	7.92165	0.733448	6.35811	0.479168	4.00516	6.81406	18.2849	4.88157	6.90359	0.32501	2.53083	0.359404	3.57083	5.56599	13.0052	7.27511	10.2886	0.32501	2.53083	0.359404	2.88755	7.95952	15.7069	168	5
hag	200	eta	3	0.54786	3.84527	5.43805	0.333108	0.12072	0.77113	0.452581	4.94951	6.01135	5.60145	7.92165	1.43222	0.512916	0.845832	0.493286	7.8795	8.92785	4.88157	6.90359	0.574616	0.208096	0.543711	0.452581	5.9999	7.56427	7.27511	10.2886	0.574616	0.208096	0.543711	0.306338	8.39343	10.803	168	5
bis	200	eta	4	0.54786	2.53334	3.58267	0.135928	0.241155	0.274613	0.808166	2.94388	4.63199	3.69866	5.23068	0.536894	1.19735	0.312041	0.898207	4.5476	7.32624	3.22018	4.55401	0.233353	0.419687	0.234057	0.808166	3.68759	5.78186	4.81193	6.80507	0.233353	0.419687	0.234057	0.62818	5.27934	7.85294	117	5
tan	200	eta	4	0.54786	2.53334	3.58267	0.134648	1.60565	0.282457	3.89042	2.95044	9.07874	3.69866	5.23068	0.528845	7.03543	0.320671	4.35691	4.54818	16.623	3.22018	4.55401	0.231091	2.77367	0.239875	3.89042	3.69115	11.2181	4.81193	6.80507	0.231091	2.77367	0.239875	3.12403	5.28289	12.7028	117	5
hag	200	eta	4	0.54786	2.53334	3.58267	0.233798	0.085885	0.441188	0.249337	3.20832	3.9179	3.69866	5.23068	1.0093	0.366678	0.485513	0.272899	5.19347	5.87026	3.22018	4.55401	0.403401	0.148091	0.317448	0.249337	3.94103	4.95144	4.81193	6.80507	0.403401	0.148091	0.317448	0.173494	5.53278	7.12666	117	5
bis	200	eta	5	0.54786	1.64001	2.31936	0.0860738	0.159592	0.157965	0.45533	1.88405	2.93428	2.39879	3.39244	0.336199	0.795374	0.179969	0.507916	2.91496	4.69573	2.08857	2.95372	0.147678	0.277814	0.13606	0.45533	2.37231	3.68687	3.12637	4.42139	0.147678	0.277814	0.13606	0.360143	3.4101	5.05935	78	5
