FIT	CollEn	particle	centrality	mass	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
bis	62.4	pi-	0	0.13957	60.8667	1.00862	17.4804	0.311906	6.61381	0.533362	84.9609	1.85389	64.4133	1.06938	29.0257	0.560852	6.68511	0.537122	100.124	2.16736	135.416	2.25559	83.031	1.55584	6.71468	0.533362	225.162	4.34479	144.676	2.41897	83.031	1.55584	6.71468	0.430995	234.421	4.40581	347	3
tan	62.4	pi-	0	0.13957	60.8667	1.00862	17.0683	0.385219	6.13295	0.435426	84.0679	1.82926	64.4133	1.06938	28.2203	0.788832	6.20071	0.438306	98.8343	2.29652	135.416	2.25559	80.884	2.04294	6.31678	0.435426	222.617	4.73395	144.676	2.41897	80.884	2.04294	6.31678	0.342091	231.877	4.804	347	3
hag	62.4	pi-	0	0.13957	60.8667	1.00862	17.558	0.0350404	9.32225	0.0813743	87.7469	1.12503	64.4133	1.06938	30.1205	0.0547275	9.41343	0.0820705	103.947	1.20618	135.416	2.25559	84.636	0.160537	8.92669	0.0813743	228.979	2.4975	144.676	2.41897	84.636	0.160537	8.92669	0.0721365	238.239	2.65165	347	3
bis	62.4	pi-	1	0.13957	49.3667	0.819164	14.4673	0.742196	5.2562	0.851346	69.0901	2.41271	52.2427	0.868536	24.2008	1.4223	5.31354	0.859254	81.757	3.15009	109.812	1.83204	68.9709	3.82939	5.37468	0.851346	184.157	6.51277	117.321	1.96484	68.9709	3.82939	5.37468	0.79591	191.667	6.59014	294	4
tan	62.4	pi-	1	0.13957	49.3667	0.819164	13.7826	1.70203	4.98312	2.56018	68.1323	5.08138	52.2427	0.868536	22.7873	3.27848	5.03822	2.58541	80.0682	6.73242	109.812	1.83204	65.3108	8.8407	5.13479	2.56018	180.257	13.2329	117.321	1.96484	65.3108	8.8407	5.13479	2.47459	187.767	13.2801	294	4
hag	62.4	pi-	1	0.13957	49.3667	0.819164	15.9696	0.0322792	6.21923	0.0524335	71.5555	0.903876	52.2427	0.868536	27.6296	0.0508295	6.28299	0.052913	86.1553	0.972278	109.812	1.83204	77.3408	0.148627	6.12314	0.0524335	193.276	2.0331	117.321	1.96484	77.3408	0.148627	6.12314	0.048349	200.785	2.16182	294	4
bis	62.4	pi-	2	0.13957	37.4459	0.620846	9.7911	0	3.26425	0	50.5013	0.620846	39.6343	0.658391	14.8734	0	3.30314	0	57.8109	0.658391	83.4029	1.39052	44.9983	0	3.5165	0	131.918	1.39052	89.1259	1.49167	44.9983	0	3.5165	0	137.641	1.49167	230	5
tan	62.4	pi-	2	0.13957	37.4459	0.620846	10.5211	0.186514	3.72759	0.196272	51.6946	1.00363	39.6343	0.658391	17.4072	0.363103	3.7689	0.197644	60.8104	1.21914	83.4029	1.39052	49.8757	0.962777	3.8459	0.196272	137.125	2.54957	89.1259	1.49167	49.8757	0.962777	3.8459	0.15863	142.848	2.61307	230	5
hag	62.4	pi-	2	0.13957	37.4459	0.620846	12.3215	0.169548	4.55959	0.109891	54.327	0.900284	39.6343	0.658391	21.349	0.31517	4.60667	0.110789	65.59	1.08435	83.4029	1.39052	59.7207	0.854493	4.50809	0.109891	147.632	2.35491	89.1259	1.49167	59.7207	0.854493	4.50809	0.0953894	153.355	2.44155	230	5
bis	62.4	pi-	3	0.13957	26.0034	0.431219	6.9282	0	2.25374	0	35.1854	0.431219	27.5258	0.457349	10.6499	0	2.28048	0	40.4561	0.457349	57.968	0.966823	31.9838	0	2.42177	0	92.3736	0.966823	61.9513	1.03725	31.9838	0	2.42177	0	96.3568	1.03725	164	5
tan	62.4	pi-	3	0.13957	26.0034	0.431219	7.37487	0.133864	2.5577	0.146158	35.936	0.711241	27.5258	0.457349	12.2107	0.263453	2.5861	0.147176	42.3226	0.867977	57.968	0.966823	34.9756	0.694714	2.64223	0.146158	95.5859	1.80769	61.9513	1.03725	34.9756	0.694714	2.64223	0.117941	99.5691	1.8499	164	5
hag	62.4	pi-	3	0.13957	26.0034	0.431219	8.63284	0.118697	3.12105	0.0747291	37.7573	0.624645	27.5258	0.457349	14.9678	0.220796	3.15338	0.0753432	45.6469	0.753488	57.968	0.966823	41.8575	0.598421	3.09163	0.0747291	102.917	1.63997	61.9513	1.03725	41.8575	0.598421	3.09163	0.0650714	106.9	1.70074	164	5
bis	62.4	pi-	4	0.13957	17.3314	0.287879	4.77397	0	1.47766	0	23.583	0.287879	18.3505	0.305406	7.38939	0	1.49524	0	27.2351	0.305406	38.7119	0.646884	22.1201	0	1.59032	0	62.4223	0.646884	41.3834	0.694207	22.1201	0	1.59032	0	65.0938	0.694207	114	5
tan	62.4	pi-	4	0.13957	17.3314	0.287879	4.98818	0.0893315	1.66525	0.086361	23.9848	0.463572	18.3505	0.305406	8.26931	0.174273	1.6838	0.0869713	28.3036	0.56665	38.7119	0.646884	23.6737	0.461668	1.72351	0.086361	64.1091	1.19491	41.3834	0.694207	23.6737	0.461668	1.72351	0.0702225	66.7806	1.2261	114	5
hag	62.4	pi-	4	0.13957	17.3314	0.287879	5.83615	0.0807161	2.01956	0.0478896	25.1871	0.416485	18.3505	0.305406	10.1316	0.150353	2.04061	0.0482868	30.5228	0.504046	38.7119	0.646884	28.317	0.407226	2.00754	0.0478896	69.0364	1.102	41.3834	0.694207	28.317	0.407226	2.00754	0.04192	71.7079	1.14335	114	5
bis	62.4	pi-	5	0.13957	11.224	0.186974	3.37409	0	0.936915	0	15.535	0.186974	11.8907	0.198486	5.38105	0	0.94802	0	18.2198	0.198486	25.1868	0.422429	15.8396	0	1.00597	0	42.0324	0.422429	26.9413	0.453631	15.8396	0	1.00597	0	43.7869	0.453631	76	5
tan	62.4	pi-	5	0.13957	11.224	0.186974	3.34595	0.0593624	1.02087	0.0474029	15.5909	0.29374	11.8907	0.198486	5.56367	0.114936	1.03234	0.0477471	18.4867	0.361169	25.1868	0.422429	15.9075	0.305715	1.06141	0.0474029	42.1557	0.775547	26.9413	0.453631	15.9075	0.305715	1.06141	0.0391085	43.9102	0.798454	76	5
hag	62.4	pi-	5	0.13957	11.224	0.186974	3.90902	0.054594	1.22259	0.0286172	16.3557	0.270185	11.8907	0.198486	6.80629	0.10202	1.23551	0.02886	19.9325	0.329367	25.1868	0.422429	18.9973	0.275883	1.22481	0.0286172	45.4089	0.726929	26.9413	0.453631	18.9973	0.275883	1.22481	0.0253848	47.1634	0.754898	76	5
bis	62.4	pi-	6	0.13957	6.87262	0.11484	2.24108	0.0598688	0.661235	0.038105	9.77493	0.212814	7.28208	0.121933	3.79716	0.117473	0.668553	0.038407	11.7478	0.277813	15.4472	0.259913	10.7588	0.311787	0.681702	0.038105	26.8877	0.609805	16.5257	0.279149	10.7588	0.311787	0.681702	0.0328031	27.9662	0.623739	48	5
tan	62.4	pi-	6	0.13957	6.87262	0.11484	2.08173	0.0359397	0.612828	0.0273032	9.56717	0.178083	7.28208	0.121933	3.46581	0.0694789	0.619733	0.0275008	11.3676	0.218913	15.4472	0.259913	9.90408	0.184904	0.638352	0.0273032	25.9896	0.47212	16.5257	0.279149	9.90408	0.184904	0.638352	0.022508	27.0682	0.486561	48	5
hag	62.4	pi-	6	0.13957	6.87262	0.11484	2.77543	0.00671359	0.90481	0.0062676	10.5529	0.127821	7.28208	0.121933	4.93165	0.0109793	0.913308	0.00632184	13.127	0.139234	15.4472	0.259913	13.6301	0.0315958	0.840409	0.0062676	29.9177	0.297776	16.5257	0.279149	13.6301	0.0315958	0.840409	0.00554464	30.9962	0.316289	48	5
bis	62.4	pi-	7	0.13957	3.75181	0.0631848	1.2564	0.0304041	0.33985	0.0201423	5.34806	0.113731	3.9774	0.0671232	2.12907	0.0585085	0.343649	0.0203036	6.45013	0.145935	8.47029	0.143682	6.03343	0.156896	0.352406	0.0201423	14.8561	0.32072	9.06647	0.154391	6.03343	0.156896	0.352406	0.0174462	15.4523	0.328733	28	3
tan	62.4	pi-	7	0.13957	3.75181	0.0631848	1.17909	0.638934	0.317434	0.190022	5.24833	0.892141	3.9774	0.0671232	1.96916	1.05972	0.321039	0.192118	6.2676	1.31897	8.47029	0.143682	5.61966	3.03491	0.332123	0.190022	14.4221	3.36861	9.06647	0.154391	5.61966	3.03491	0.332123	0.195446	15.0182	3.38475	28	3
hag	62.4	pi-	7	0.13957	3.75181	0.0631848	1.96858	0.00512591	0.359588	0.00237011	6.07998	0.0706808	3.9774	0.0671232	3.59309	0.00864	0.363181	0.00239244	7.93368	0.0781556	8.47029	0.143682	9.80216	0.0245339	0.346686	0.00237011	18.6191	0.170585	9.06647	0.154391	9.80216	0.0245339	0.346686	0.00220692	19.2153	0.181132	28	3
bis	62.4	pi-	8	0.13957	1.88124	0.0322499	0.678991	0.0283543	0.121467	0.00603522	2.6817	0.0666394	1.99652	0.0342983	1.12652	0.0621099	0.122975	0.00609646	3.24602	0.102505	4.28507	0.074027	3.24899	0.154795	0.133843	0.00603522	7.6679	0.234857	4.59193	0.0796312	3.24899	0.154795	0.133843	0.00597379	7.97476	0.2404	15	2
tan	62.4	pi-	8	0.13957	1.88124	0.0322499	0.632659	0.0114434	0.143733	0.00662406	2.65763	0.0503174	1.99652	0.0342983	1.0632	0.0222095	0.14539	0.00667504	3.20511	0.0631828	4.28507	0.074027	3.02595	0.0589962	0.151695	0.00662406	7.46272	0.139647	4.59193	0.0796312	3.02595	0.0589962	0.151695	0.00564237	7.76958	0.14427	15	2
hag	62.4	pi-	8	0.13957	1.88124	0.0322499	1.29452	0.00370516	0.132338	0.000854167	3.3081	0.0368093	1.99652	0.0342983	2.43767	0.00647264	0.133726	0.000862756	4.56792	0.0416337	4.28507	0.074027	6.54663	0.0180762	0.131354	0.000854167	10.9631	0.0929573	4.59193	0.0796312	6.54663	0.0180762	0.131354	0.000826936	11.2699	0.0985344	15	2
bis	62.4	pi+	0	0.13957	59.764	0.990193	17.3519	0.888136	6.31417	0.967625	83.4301	2.84595	63.2402	1.04973	28.9921	1.71048	6.38333	0.97667	98.6157	3.73689	132.838	2.21199	82.6667	4.59293	6.47173	0.967625	221.976	7.77254	141.91	2.37201	82.6667	4.59293	6.47173	0.907926	231.048	7.87287	347	3
tan	62.4	pi+	0	0.13957	59.764	0.990193	16.6273	2.26823	6.07066	3.46149	82.462	6.71991	63.2402	1.04973	27.4842	4.37149	6.13777	3.49557	96.8622	8.9168	132.838	2.21199	78.7793	11.7857	6.25483	3.46149	217.872	17.4592	141.91	2.37201	78.7793	11.7857	6.25483	3.34493	226.944	17.5027	347	3
hag	62.4	pi+	0	0.13957	59.764	0.990193	17.4272	0.0348342	9.02287	0.0785637	86.214	1.10359	63.2402	1.04973	29.9161	0.0544404	9.11148	0.0792397	102.268	1.18341	132.838	2.21199	84.0366	0.159655	8.66084	0.0785637	225.536	2.4502	141.91	2.37201	84.0366	0.159655	8.66084	0.0698849	234.607	2.60155	347	3
bis	62.4	pi+	1	0.13957	49.0021	0.812154	13.7049	0.866242	5.1141	1.34304	67.8211	3.02144	51.8452	0.860886	22.6833	1.59422	5.17026	1.35564	79.6987	3.81075	108.813	1.81279	64.977	4.38272	5.24897	1.34304	179.039	7.53856	116.221	1.94364	64.977	4.38272	5.24897	1.26296	186.447	7.58932	294	4
tan	62.4	pi+	1	0.13957	49.0021	0.812154	13.5849	6.02027	5.03593	9.23343	67.623	16.0659	51.8452	0.860886	22.4416	11.5723	5.09146	9.32404	79.3782	21.7572	108.813	1.81279	64.3431	31.2352	5.18166	9.23343	178.338	42.2814	116.221	1.94364	64.3431	31.2352	5.18166	8.90477	185.746	42.0836	294	4
hag	62.4	pi+	1	0.13957	49.0021	0.812154	15.9192	0.209364	6.18804	0.144357	71.1093	1.16588	51.8452	0.860886	27.5439	0.388392	6.2515	0.145525	85.6405	1.3948	108.813	1.81279	77.0989	1.05403	6.09338	0.144357	192.005	3.01118	116.221	1.94364	77.0989	1.05403	6.09338	0.124561	199.414	3.12222	294	4
bis	62.4	pi+	2	0.13957	36.9523	0.612733	9.78073	0	3.30598	0	50.039	0.612733	39.1123	0.649795	14.9582	0	3.34505	0	57.4155	0.649795	82.3008	1.37227	45.0748	0	3.54508	0	130.921	1.37227	87.9515	1.47215	45.0748	0	3.54508	0	136.571	1.47215	230	5
tan	62.4	pi+	2	0.13957	36.9523	0.612733	10.3746	0.17912	3.67854	0.185602	51.0053	0.977455	39.1123	0.649795	17.1649	0.345747	3.71931	0.186911	59.9965	1.18245	82.3008	1.37227	49.181	0.920577	3.79576	0.185602	135.278	2.47845	87.9515	1.47215	49.181	0.920577	3.79576	0.150686	140.928	2.54341	230	5
hag	62.4	pi+	2	0.13957	36.9523	0.612733	12.1505	0.167459	4.50398	0.108785	53.6067	0.888977	39.1123	0.649795	21.0516	0.311278	4.55048	0.109674	64.7144	1.07075	82.3008	1.37227	58.8903	0.843955	4.45249	0.108785	145.644	2.32501	87.9515	1.47215	58.8903	0.843955	4.45249	0.0944068	151.294	2.41051	230	5
bis	62.4	pi+	3	0.13957	25.4324	0.421848	7.69629	0.24241	2.78403	0.162625	35.9127	0.826882	26.9185	0.447351	12.9686	0.489523	2.81413	0.163867	42.7012	1.10074	56.6354	0.944578	36.8267	1.27908	2.83188	0.162625	96.294	2.38628	60.5224	1.01329	36.8267	1.27908	2.83188	0.13711	100.181	2.42948	164	5
tan	62.4	pi+	3	0.13957	25.4324	0.421848	7.13989	0.123492	2.53669	0.135456	35.109	0.680795	26.9185	0.447351	11.8128	0.239321	2.5648	0.136409	41.2961	0.823081	56.6354	0.944578	33.8463	0.635803	2.61781	0.135456	93.0995	1.71584	60.5224	1.01329	33.8463	0.635803	2.61781	0.10981	96.9864	1.7589	164	5
hag	62.4	pi+	3	0.13957	25.4324	0.421848	8.3611	0.115117	3.11055	0.0751302	36.904	0.612094	26.9185	0.447351	14.4847	0.213954	3.14265	0.0757436	44.5459	0.737048	56.6354	0.944578	40.5218	0.580121	3.07408	0.0751302	100.231	1.59983	60.5224	1.01329	40.5218	0.580121	3.07408	0.065171	104.118	1.65858	164	5
bis	62.4	pi+	4	0.13957	17.0961	0.283995	4.67791	0	1.40904	0	23.1831	0.283995	18.1027	0.301311	7.15675	0	1.42603	0	26.6854	0.301311	38.2051	0.638522	21.5895	0	1.52821	0	61.3229	0.638522	40.8454	0.685306	21.5895	0	1.52821	0	63.9632	0.685306	114	5
tan	62.4	pi+	4	0.13957	17.0961	0.283995	4.93404	0.0860955	1.63409	0.0819803	23.6643	0.452071	18.1027	0.301311	8.18215	0.166701	1.65232	0.0825657	27.9371	0.550577	38.2051	0.638522	23.4208	0.44321	1.69235	0.0819803	63.3183	1.16371	40.8454	0.685306	23.4208	0.44321	1.69235	0.0670175	65.9586	1.19553	114	5
hag	62.4	pi+	4	0.13957	17.0961	0.283995	5.77187	0.0799644	1.98206	0.0470146	24.8501	0.410975	18.1027	0.301311	10.0223	0.148993	2.00274	0.0474052	30.1277	0.497708	38.2051	0.638522	28.0085	0.403489	1.97145	0.0470146	68.1851	1.08903	40.8454	0.685306	28.0085	0.403489	1.97145	0.0411954	70.8254	1.12999	114	5
bis	62.4	pi+	5	0.13957	11.085	0.184595	3.2216	0	0.846701	0	15.1533	0.184595	11.744	0.195974	4.97526	0	0.857078	0	17.5763	0.195974	24.883	0.417251	14.9527	0	0.926826	0	40.7626	0.417251	26.6183	0.448111	14.9527	0	0.926826	0	42.4978	0.448111	76	5
tan	62.4	pi+	5	0.13957	11.085	0.184595	3.30947	0.0573438	1.00562	0.0470305	15.4001	0.288969	11.744	0.195974	5.50427	0.110483	1.01693	0.0473747	18.2652	0.353831	24.883	0.417251	15.7359	0.294522	1.0462	0.0470305	41.6651	0.758803	26.6183	0.448111	15.7359	0.294522	1.0462	0.0389615	43.4003	0.781594	76	5
hag	62.4	pi+	5	0.13957	11.085	0.184595	3.86558	0.0540828	1.2061	0.0283761	16.1567	0.267054	11.744	0.195974	6.73106	0.101082	1.21884	0.028617	19.6939	0.325672	24.883	0.417251	18.7868	0.273325	1.20855	0.0283761	44.8784	0.718952	26.6183	0.448111	18.7868	0.273325	1.20855	0.0251763	46.6136	0.746612	76	5
bis	62.4	pi+	6	0.13957	6.79172	0.113488	2.0122	0	0.470302	0	9.27422	0.113488	7.19788	0.12053	3.09171	0	0.476205	0	10.7658	0.12053	15.2895	0.257381	9.33229	0	0.521781	0	25.1436	0.257381	16.3613	0.276516	9.33229	0	0.521781	0	26.2153	0.276516	48	5
tan	62.4	pi+	6	0.13957	6.79172	0.113488	2.07665	0.0362093	0.595486	0.0291693	9.46385	0.178867	7.19788	0.12053	3.46099	0.0700967	0.602218	0.0293848	11.2611	0.220011	15.2895	0.257381	9.88559	0.186387	0.621514	0.0291693	25.7966	0.472938	16.3613	0.276516	9.88559	0.186387	0.621514	0.0242868	26.8684	0.48719	48	5
hag	62.4	pi+	6	0.13957	6.79172	0.113488	2.75633	0.00667278	0.887124	0.00613256	10.4352	0.126294	7.19788	0.12053	4.90042	0.0109192	0.895469	0.00618574	12.9938	0.137635	15.2895	0.257381	13.5402	0.0314146	0.824753	0.00613256	29.6544	0.294929	16.3613	0.276516	13.5402	0.0314146	0.824753	0.00543223	30.7262	0.313363	48	5
bis	62.4	pi+	7	0.13957	3.77705	0.06366	1.35934	0.0402045	0.329935	0.0174515	5.46633	0.121316	4.00642	0.0676738	2.33578	0.0811916	0.333645	0.0175959	6.67585	0.166461	8.56516	0.145538	6.57392	0.21221	0.343262	0.0174515	15.4823	0.3752	9.17383	0.156501	6.57392	0.21221	0.343262	0.0153859	16.091	0.384096	28	3
tan	62.4	pi+	7	0.13957	3.77705	0.06366	1.22344	0.391035	0.305685	0.100071	5.30618	0.554766	4.00642	0.0676738	2.04799	0.650712	0.309173	0.101188	6.36359	0.819574	8.56516	0.145538	5.83903	1.86109	0.320679	0.100071	14.7249	2.10669	9.17383	0.156501	5.83903	1.86109	0.320679	0.103647	15.3335	2.12123	28	3
hag	62.4	pi+	7	0.13957	3.77705	0.06366	1.97399	0.0051218	0.362097	0.00238025	6.11314	0.071162	4.00642	0.0676738	3.60222	0.00863101	0.365714	0.00240266	7.97435	0.0787075	8.56516	0.145538	9.82807	0.024511	0.349023	0.00238025	18.7423	0.17243	9.17383	0.156501	9.82807	0.024511	0.349023	0.00221565	19.3509	0.183227	28	3
bis	62.4	pi+	8	0.13957	1.85802	0.0318991	0.702668	0.0295361	0.131693	0.00637467	2.69238	0.0678098	1.9721	0.0339284	1.20378	0.0656872	0.133275	0.0064359	3.30915	0.106052	4.23535	0.0732654	3.40079	0.162009	0.142382	0.00637467	7.77853	0.241649	4.53929	0.0788227	3.40079	0.162009	0.142382	0.00611807	8.08247	0.246949	15	2
tan	62.4	pi+	8	0.13957	1.85802	0.0318991	0.628661	0.0527067	0.140725	0.0572101	2.62741	0.141816	1.9721	0.0339284	1.05702	0.106983	0.142349	0.0578122	3.17146	0.198723	4.23535	0.0732654	3.00772	0.281961	0.148599	0.0572101	7.39167	0.412437	4.53929	0.0788227	3.00772	0.281961	0.148599	0.0573966	7.69561	0.418181	15	2
hag	62.4	pi+	8	0.13957	1.85802	0.0318991	1.28452	0.00368269	0.130045	0.000839192	3.27259	0.0364209	1.9721	0.0339284	2.42019	0.00643755	0.131411	0.000847639	4.5237	0.0412136	4.23535	0.0732654	6.49783	0.0179726	0.129134	0.000839192	10.8623	0.0920772	4.53929	0.0788227	6.49783	0.0179726	0.129134	0.0008129	11.1663	0.0976082	15	2
bis	62.4	pi0	0	0.13497	60.3153	0.999438	16.3513	0	11.7079	0	88.3745	0.999438	63.607	1.05584	26.0223	0	11.7947	0	101.424	1.05584	134.654	2.24309	78.0677	0	9.82729	0	222.549	2.24309	143.293	2.39556	78.0677	0	9.82729	0	231.188	2.39556	347	3
tan	62.4	pi0	0	0.13497	60.3153	0.999438	16.9481	2.57471	6.12225	3.88682	83.3856	7.46097	63.607	1.05584	27.5461	4.86716	6.1855	3.9226	97.3386	9.8456	134.654	2.24309	81.7542	13.6609	6.30912	3.88682	222.718	19.7909	143.293	2.39556	81.7542	13.6609	6.30912	3.75652	231.356	19.813	347	3
hag	62.4	pi0	0	0.13497	60.3153	0.999438	17.8873	0.0352766	9.07935	0.0792233	87.2819	1.11394	63.607	1.05584	30.2553	0.0542251	9.16276	0.0798609	103.025	1.18992	134.654	2.24309	87.9807	0.164354	8.72055	0.0792233	231.356	2.48666	143.293	2.39556	87.9807	0.164354	8.72055	0.0704998	239.994	2.63042	347	3
bis	62.4	pi0	1	0.13497	49.1844	0.815716	13.0303	0	9.31504	0	71.5297	0.815716	51.865	0.861711	20.647	0	9.38418	0	81.8961	0.861711	109.741	1.83011	62.0576	0	7.80386	0	179.603	1.83011	116.771	1.95442	62.0576	0	7.80386	0	186.633	1.95442	294	4
tan	62.4	pi0	1	0.13497	49.1844	0.815716	13.7649	2.52513	5.02561	3.85167	67.9749	7.19251	51.865	0.861711	22.3654	4.7713	5.07749	3.88707	79.3078	9.52008	109.741	1.83011	66.386	13.3945	5.17675	3.85167	181.304	19.0763	116.771	1.95442	66.386	13.3945	5.17675	3.71988	188.334	19.0688	294	4
hag	62.4	pi0	1	0.13497	49.1844	0.815716	16.2277	0.220993	6.1964	0.148667	71.6085	1.18538	51.865	0.861711	27.6636	0.40389	6.25581	0.149791	85.7844	1.41539	109.741	1.83011	80.178	1.13696	6.10421	0.148667	196.024	3.11574	116.771	1.95442	80.178	1.13696	6.10421	0.128244	203.053	3.21963	294	4
bis	62.4	pi0	2	0.13497	37.1991	0.6168	10.2815	0	7.27796	0	54.7585	0.6168	39.2373	0.651776	16.44	0	7.33142	0	63.0087	0.651776	83.1788	1.38716	49.2104	0	6.063	0	138.452	1.38716	88.5387	1.48193	49.2104	0	6.063	0	143.812	1.48193	230	5
tan	62.4	pi0	2	0.13497	37.1991	0.6168	10.5104	1.00904	3.71505	1.5049	51.4245	3.13075	39.2373	0.651776	17.0966	1.91274	3.75354	1.51881	60.0874	4.08333	83.1788	1.38716	50.7242	5.36236	3.83463	1.5049	137.738	8.25442	88.5387	1.48193	50.7242	5.36236	3.83463	1.45795	143.098	8.30224	230	5
hag	62.4	pi0	2	0.13497	37.1991	0.6168	12.386	0.17111	4.56806	0.11028	54.1531	0.89819	39.2373	0.651776	21.1355	0.313121	4.61208	0.111119	64.9849	1.07602	83.1788	1.38716	61.2317	0.880934	4.51304	0.11028	148.924	2.37837	88.5387	1.48193	61.2317	0.880934	4.51304	0.0955599	154.283	2.45843	230	5
bis	62.4	pi0	3	0.13497	25.7179	0.426545	7.13539	0	4.82743	0	37.6807	0.426545	27.128	0.45075	11.4616	0	4.86306	0	43.4526	0.45075	57.528	0.959696	34.2176	0	4.02541	0	95.771	0.959696	61.2368	1.0253	34.2176	0	4.02541	0	99.4798	1.0253	164	5
tan	62.4	pi0	3	0.13497	25.7179	0.426545	7.30106	0.131945	2.55504	0.144458	35.574	0.702947	27.128	0.45075	11.8806	0.254928	2.58154	0.145402	41.5901	0.85108	57.528	0.959696	35.2432	0.699465	2.6392	0.144458	95.4103	1.80362	61.2368	1.0253	35.2432	0.699465	2.6392	0.11675	99.1192	1.84151	164	5
hag	62.4	pi0	3	0.13497	25.7179	0.426545	8.60115	0.118715	3.14052	0.0755634	37.4596	0.620823	27.128	0.45075	14.6812	0.217303	3.17083	0.0761403	44.98	0.744193	57.528	0.959696	42.5278	0.611278	3.10525	0.0755634	103.161	1.64654	61.2368	1.0253	42.5278	0.611278	3.10525	0.0655683	106.87	1.70214	164	5
bis	62.4	pi0	4	0.13497	17.2138	0.285947	4.62879	0	3.23048	0	25.0731	0.285947	18.1632	0.302281	7.19012	0	3.25517	0	28.6085	0.302281	38.6112	0.64541	21.8732	0	2.7735	0	63.2579	0.64541	41.1145	0.689782	21.8732	0	2.7735	0	65.7612	0.689782	114	5
tan	62.4	pi0	4	0.13497	17.2138	0.285947	4.99112	0.0900652	1.655	0.0862435	23.8599	0.462256	18.1632	0.302281	8.13587	0.173104	1.67225	0.0868149	27.9714	0.5622	38.6112	0.64541	24.1183	0.476285	1.7141	0.0862435	64.4436	1.20794	41.1145	0.689782	24.1183	0.476285	1.7141	0.0702429	66.9469	1.23631	114	5
hag	62.4	pi0	4	0.13497	17.2138	0.285947	5.87589	0.0815947	2.01664	0.0479138	25.1063	0.415455	18.1632	0.302281	10.0473	0.149645	2.03626	0.0482845	30.2468	0.50021	38.6112	0.64541	29.0825	0.420574	2.00395	0.0479138	69.6976	1.1139	41.1145	0.689782	29.0825	0.420574	2.00395	0.0419024	72.2009	1.15226	114	5
bis	62.4	pi0	5	0.13497	11.1545	0.185797	3.27777	0.0391256	2.02057	0.0263979	16.4529	0.251321	11.7759	0.196529	5.26291	0.0654456	2.03561	0.0265499	19.0744	0.288525	25.1351	0.421641	15.7314	0.193606	1.69734	0.0263979	42.5639	0.641645	26.7798	0.450905	15.7314	0.193606	1.69734	0.018212	44.2085	0.662724	76	5
tan	62.4	pi0	5	0.13497	11.1545	0.185797	3.15266	0.0492239	0.798231	0.0207155	15.1054	0.255736	11.7759	0.196529	5.10875	0.0916866	0.807285	0.020912	17.6919	0.309128	25.1351	0.421641	15.183	0.255995	0.868308	0.0207155	41.1864	0.698351	26.7798	0.450905	15.183	0.255995	0.868308	0.0204686	42.8311	0.727368	76	5
hag	62.4	pi0	5	0.13497	11.1545	0.185797	3.93617	0.0552857	1.22366	0.0288478	16.3143	0.269931	11.7759	0.196529	6.75	0.101721	1.23572	0.029076	19.7616	0.327326	25.1351	0.421641	19.514	0.285455	1.22534	0.0288478	45.8744	0.735944	26.7798	0.450905	19.514	0.285455	1.22534	0.0255551	47.5191	0.761915	76	5
bis	62.4	pi0	6	0.13497	6.83215	0.114172	1.84842	0	1.18294	0	9.86351	0.114172	7.21446	0.120799	2.80744	0	1.1922	0	11.2141	0.120799	15.4301	0.259761	8.65314	0	1.03121	0	25.1144	0.259761	16.4435	0.277855	8.65314	0	1.03121	0	26.1278	0.277855	48	5
tan	62.4	pi0	6	0.13497	6.83215	0.114172	2.09219	0.0370526	0.605967	0.0287953	9.53031	0.18002	7.21446	0.120799	3.42614	0.0706015	0.612362	0.0289944	11.253	0.220395	15.4301	0.259761	10.138	0.1951	0.632099	0.0287953	26.2002	0.483657	16.4435	0.277855	10.138	0.1951	0.632099	0.0239916	27.2136	0.496947	48	5
hag	62.4	pi0	6	0.13497	6.83215	0.114172	2.84158	0.00680051	0.886847	0.00614339	10.5606	0.127116	7.21446	0.120799	4.98037	0.0109481	0.894658	0.00619327	13.0895	0.137941	15.4301	0.259761	14.2541	0.0325952	0.82543	0.00614339	30.5096	0.2985	16.4435	0.277855	14.2541	0.0325952	0.82543	0.00544791	31.523	0.315898	48	5
bis	62.4	pi0	7	0.13497	3.76441	0.0634368	1.17979	0.0158833	0.612033	0.0104386	5.55623	0.0897587	3.97767	0.0671658	1.90775	0.0272144	0.61666	0.0105054	6.50207	0.104886	8.55224	0.145262	5.68432	0.0794132	0.518282	0.0104386	14.7549	0.235113	9.12011	0.155483	5.68432	0.0794132	0.518282	0.00806569	15.3227	0.242962	28	3
