CollEn	Particle	Cent	dETdEta	dETdEta_err	dNdEta	dNdEta_err	npart	nparterr
7.7	ome	5	0.126753	0.17881	8.5665e-05	0.723756	1.00185	72	10
7.7	ome	6	0.0701943	0.0992192	6.6421e-05	0.425584	0.58928	45	9
7.7	ome	7	0.0358747	0.0551924	1.92407e-05	0.226554	0.317443	26	7
7.7	ome	8	0.0155963	0.0218466	6.67861e-05	0.10717	0.14603	14	4
11.5	pi-	0	53.6582	3.62527	0.602697	128.96	9.14789	338	2
11.5	pi-	1	41.7339	2.66013	0.664787	99.6913	6.20344	291	6
11.5	pi-	2	31.8445	2.03526	0.287664	77.0174	4.84627	226	8
11.5	pi-	3	21.4894	1.36566	0.202231	52.157	3.23119	160	9
11.5	pi-	4	14.6417	1.10073	0.0783677	36.5103	3.22176	110	10
11.5	pi-	5	9.04495	0.589257	0.168711	22.4887	1.4654	73	10
11.5	pi-	6	5.52766	0.471381	0.00972108	14.3876	1.57065	45	9
11.5	pi-	7	3.14061	0.251632	0.00568556	8.34896	0.813479	26	7
11.5	pi-	8	1.62181	0.146144	0.0124763	4.38098	0.514113	14	4
11.5	pi+	0	51.5093	3.19431	0.94686	120.584	6.98041	338	2
11.5	pi+	1	39.9788	2.55066	0.922585	93.3067	5.80175	291	6
11.5	pi+	2	30.3195	1.93112	0.609229	71.7318	4.45861	226	8
11.5	pi+	3	20.5377	1.30861	0.252286	49.0182	3.04521	160	9
11.5	pi+	4	13.8684	0.881555	0.172931	33.7399	2.09267	110	10
11.5	pi+	5	8.68341	0.564943	0.0965889	21.4247	1.38719	73	10
11.5	pi+	6	5.2022	0.393848	0.0393144	13.265	1.16989	45	9
11.5	pi+	7	2.93057	0.234231	0.0434913	7.62815	0.736043	26	7
11.5	pi+	8	1.50258	0.120815	0.0356435	3.95393	0.380063	14	4
11.5	pi0	0	52.5908	3.35406	0.963122	125.911	7.85076	338	2
11.5	pi0	0	52.5908	3.35435	0.963129	125.911	7.85218	338	2
11.5	pi0	1	40.9229	2.60899	0.882434	97.7025	6.08623	291	6
11.5	pi0	2	31.1172	1.98478	0.53209	75.2292	4.70154	226	8
11.5	pi0	3	21.077	1.43383	0.242975	51.3843	3.70143	160	9
11.5	pi0	4	14.2648	1.0051	0.16834	35.4982	2.76331	110	10
11.5	pi0	5	8.88501	0.5787	0.144962	22.2741	1.45307	73	10
11.5	pi0	6	5.36866	0.475746	0.0338794	13.979	1.63187	45	9
11.5	pi0	7	3.03999	0.238548	0.0342986	8.09125	0.763301	26	7
11.5	pi0	8	1.56537	0.159853	0.0298096	4.22489	0.6049	14	4
11.5	ka-	0	6.86288	0.410751	0.0444265	8.34339	0.484367	338	2
11.5	ka-	1	5.6846	0.341426	0.0309124	6.92622	0.402949	291	6
11.5	ka-	2	4.09477	0.248113	0.0127021	5.03882	0.299309	226	8
11.5	ka-	3	2.66168	0.162512	0.00891729	3.29695	0.197737	160	9
11.5	ka-	4	1.67091	0.10326	0.00794604	2.07903	0.1262	110	10
11.5	ka-	5	1.02224	0.0655267	0.00254007	1.30746	0.083224	73	10
11.5	ka-	6	0.530425	0.0345276	0.00118273	0.682979	0.0434877	45	9
11.5	ka-	7	0.255118	0.0173063	0.00105768	0.338172	0.0226655	26	7
11.5	ka-	8	0.115738	0.00783807	0.00114646	0.15803	0.00995095	14	4
11.5	ka+	0	14.6946	0.883685	0.0898085	17.3219	1.00476	338	2
11.5	ka+	1	11.8354	0.716894	0.0797149	14.1033	0.830053	291	6
11.5	ka+	2	8.47626	0.515256	0.0236932	10.1907	0.605733	226	8
11.5	ka+	3	5.45579	0.334096	0.00807517	6.61103	0.397039	160	9
11.5	ka+	4	3.36372	0.197353	0.0703868	4.01395	0.224009	110	10
11.5	ka+	5	2.03382	0.127316	0.00110745	2.53357	0.156604	73	10
11.5	ka+	6	1.02877	0.0655958	6.68139e-05	1.29163	0.0803168	45	9
11.5	ka+	7	0.498606	0.0327503	0.00057181	0.640208	0.0413712	26	7
11.5	ka+	8	0.228102	0.0168131	0.000267196	0.299094	0.0218861	14	4
11.5	pba	0	1.90939	0.161552	0.0217164	0.836473	0.0701282	338	2
11.5	pba	1	1.522	0.129463	0.0135124	0.669365	0.0563582	291	6
11.5	pba	2	1.21245	0.107158	0.012965	0.536057	0.0475733	226	8
11.5	pba	3	0.849478	0.0751318	0.00663528	0.379292	0.0337427	160	9
11.5	pba	4	0.58915	0.0480321	0.00547271	0.265995	0.0214579	110	10
11.5	pba	5	0.375844	0.0350606	0.00156256	0.172229	0.0162787	73	10
11.5	pba	6	0.231274	0.0224132	0.000404407	0.107012	0.0105494	45	9
11.5	pba	7	0.123819	0.03485	0.000122122	0.0583864	0.0200302	26	7
11.5	pba	8	0.0613048	0.0231049	0.000466875	0.0292054	0.0142265	14	4
11.5	pro	0	10.3575	0.897354	0.0448333	25.3881	2.15443	338	2
11.5	pro	1	8.10137	0.701592	0.0279326	19.9038	1.63216	291	6
11.5	pro	2	5.85512	0.505602	0.0153654	14.7422	1.20663	226	8
11.5	pro	3	3.74903	0.322974	0.0059775	9.81199	0.798393	160	9
11.5	pro	4	2.30658	0.198717	0.00189428	6.29498	0.515371	110	10
11.5	pro	5	1.26654	0.108524	0.000542519	3.73552	0.315591	73	10
11.5	pro	6	0.654428	0.0565077	3.67115e-05	2.03773	0.176235	45	9
11.5	pro	7	0.293115	0.025713	0.000314679	0.995647	0.0950841	26	7
11.5	pro	8	0.128088	0.0115573	6.2283e-05	0.457161	0.0396081	14	4
11.5	eta	0	5.74618	7.90736	0.0381369	6.29014	8.52988	338	2
11.5	eta	1	4.48127	6.17137	0.0321238	4.90545	6.65988	291	6
11.5	eta	2	3.35866	4.61997	0.0222704	3.69315	5.00534	226	8
11.5	eta	3	2.25623	3.14939	0.013561	2.48461	3.44456	160	9
11.5	eta	4	1.48375	2.06831	0.00995083	1.65311	2.28774	110	10
11.5	eta	5	0.912024	1.26997	0.00636093	1.02327	1.41382	73	10
11.5	eta	5	0.912015	12.2027	0.00635168	1.02325	1.49176	73	10
11.5	eta	6	0.52501	7.47776	0.00396749	0.597952	0.85879	45	9
11.5	eta	7	0.285094	4.96472	0.00280667	0.33105	0.496968	26	7
11.5	eta	8	0.143201	2.58299	0.00169214	0.168185	0.247383	14	4
11.5	ome	0	1.24673	7.42612	0.000579221	6.02844	9.71965	338	2
11.5	ome	1	0.970101	5.86798	0.00122679	4.69099	7.40133	291	6
11.5	ome	2	0.720139	4.55578	0.000206653	3.52579	5.56877	226	8
11.5	ome	3	0.482619	3.27439	4.16575e-05	2.36909	3.72315	160	9
11.5	ome	4	0.306756	2.1129	4.69363e-05	1.5597	2.37613	110	10
11.5	ome	5	0.184937	1.36746	4.41671e-05	0.959436	1.47693	73	10
11.5	ome	6	0.101843	0.786823	6.67757e-05	0.552885	0.812999	45	9
11.5	ome	7	0.051845	0.535028	5.57684e-05	0.301038	0.463149	26	7
11.5	ome	8	0.0249372	0.26862	5.91616e-06	0.150996	0.224978	14	4
19.6	pi-	0	70.223	79.0039	0.817581	164.548	13.9207	338	2
19.6	pi-	1	57.073	65.3196	0.331576	135.545	8.85711	289	6
19.6	pi-	2	43.3709	48.7371	0.317094	102.551	6.6947	225	9
19.6	pi-	3	29.0475	34.5666	0.38377	68.9466	6.04124	158	10
19.6	pi-	4	19.2965	24.052	0.281957	46.355	4.53526	108	11
19.6	pi-	5	12.1271	15.0567	0.0487284	29.8486	1.92137	71	10
19.6	pi-	6	7.28162	9.26607	0.0316798	18.1638	1.16817	44	9
19.6	pi-	7	3.95544	11.6055	0.0221949	9.99361	0.776974	26	7
19.6	pi-	8	2.05245	2.58619	0.0121923	5.27388	0.246208	14	5
19.6	pi+	0	68.4618	47.4673	0.91097	157.836	9.64262	338	2
19.6	pi+	1	55.4005	59.7699	0.526034	129.073	8.46046	289	6
19.6	pi+	2	41.859	44.949	0.670635	96.6323	7.38684	225	9
19.6	pi+	3	28.2184	32.2454	0.460943	66.0764	4.95471	158	10
19.6	pi+	4	18.9085	22.3174	0.116673	45.5411	2.96104	108	11
19.6	pi+	5	11.782	14.3583	0.0649126	28.7933	1.85816	71	10
19.6	pi+	6	7.00115	9.01758	0.122669	17.1635	1.2381	44	9
19.6	pi+	7	3.8651	11.7929	0.0248741	9.75386	0.767451	26	7
19.6	pi+	8	1.97761	5.6336	0.0313939	5.00118	0.435803	14	5
19.6	pi0	0	69.5209	52.0732	0.780638	163.598	10.1628	338	2
19.6	pi0	1	56.3168	62.5897	0.502752	133.928	8.84322	289	6
19.6	pi0	2	42.5379	46.994	0.68805	100.042	7.77512	225	9
19.6	pi0	3	28.6823	33.4148	0.455911	68.3775	5.39149	158	10
19.6	pi0	4	19.2426	23.0883	0.117647	47.1355	3.08923	108	11
19.6	pi0	5	11.8496	14.7888	0.199587	29.0215	2.1884	71	10
19.6	pi0	6	7.11787	9.16993	0.123177	17.7003	1.31842	44	9
19.6	pi0	7	3.91929	11.4658	0.0278189	10.018	0.788393	26	7
19.6	pi0	8	2.00984	2.55216	0.0344524	5.16327	0.397783	14	5
19.6	ka-	0	10.9723	3.35478	0.031942	13.0068	0.772149	338	2
19.6	ka-	1	8.97951	2.80426	0.0309557	10.6964	0.632428	289	6
19.6	ka-	2	6.62491	2.10535	0.0215086	7.94836	0.478901	225	9
19.6	ka-	3	4.48581	1.4793	0.00655871	5.43658	0.317743	158	10
19.6	ka-	4	2.84944	1.36158	0.00127062	3.5038	0.216774	108	11
19.6	ka-	5	1.71551	5.24273	0.000778846	2.14794	0.157773	71	10
19.6	ka-	6	0.958512	3.08087	0.00101978	1.21974	0.0901873	44	9
19.6	ka-	7	0.474171	0.571509	0.00082901	0.61572	0.0410949	26	7
19.6	ka-	8	0.219708	0.325199	0.00133529	0.290583	0.0209832	14	5
19.6	ka+	0	17.5714	5.1958	0.0538805	20.5916	1.23234	338	2
19.6	ka+	1	14.4373	4.30178	0.0397419	16.9404	1.02377	289	6
19.6	ka+	1	14.4365	0.873497	0.0389537	16.939	0.988208	289	6
19.6	ka+	2	10.5452	0.629321	0.0224302	12.4544	0.712781	225	9
19.6	ka+	3	7.07273	0.428278	0.00845107	8.44978	0.496495	158	10
19.6	ka+	4	4.33759	0.263993	0.00666894	5.31123	0.316941	108	11
19.6	ka+	5	2.58607	0.161624	0.00241475	3.20616	0.199448	71	10
19.6	ka+	6	1.44324	0.10276	0.00256425	1.80722	0.135128	44	9
19.6	ka+	7	0.702617	0.0555344	0.00054703	0.897655	0.0769376	26	7
19.6	ka+	8	0.331404	0.0288221	0.000110948	0.429202	0.041126	14	5
19.6	pba	0	5.67561	0.471397	0.0477883	2.45731	0.202701	338	2
19.6	pba	1	4.54063	0.383177	0.0424399	1.97902	0.166582	289	6
19.6	pba	2	3.59151	0.29894	0.0290192	1.57076	0.130186	225	9
19.6	pba	3	2.54904	0.208984	0.0175857	1.12202	0.0912718	158	10
19.6	pba	4	1.7217	0.147626	0.0116465	0.766279	0.0658898	108	11
19.6	pba	5	1.1198	0.0961471	0.00272108	0.502394	0.0432188	71	10
19.6	pba	6	0.676591	0.0585297	0.00149987	0.307478	0.026641	44	9
19.6	pba	7	0.364026	0.0324895	0.000522621	0.167624	0.0152876	26	7
19.6	pba	8	0.179674	0.0341703	0.000305473	0.0839724	0.017186	14	5
19.6	pro	0	8.49798	0.744495	0.0255396	20.1876	1.70281	338	2
19.6	pro	1	6.84937	0.601039	0.0175382	16.4193	1.38771	289	6
19.6	pro	2	5.09286	0.445102	0.0104359	12.3642	1.02562	225	9
19.6	pro	3	3.1141	0.270003	0.0056809	8.03698	0.687871	158	10
19.6	pro	4	1.82034	0.157106	0.00227981	4.91964	0.417998	108	11
19.6	pro	5	1.09311	0.0946095	0.000533417	3.02477	0.256875	71	10
19.6	pro	6	0.547884	0.046962	2.72877e-05	1.6455	0.138405	44	9
19.6	pro	7	0.271904	0.0260151	4.04793e-05	0.84782	0.119043	26	7
19.6	pro	8	0.114949	0.0112095	3.93721e-05	0.387283	0.058088	14	5
19.6	eta	0	7.8136	10.7753	0.0436264	8.42624	11.4617	338	2
19.6	eta	1	6.26537	8.63445	0.0317178	6.769	9.1978	289	6
19.6	eta	2	4.77345	6.57995	0.0247277	5.15659	7.01003	225	9
19.6	eta	3	3.16858	4.36541	0.0146047	3.43976	4.67275	158	10
19.6	eta	4	2.0652	2.88106	0.0086999	2.25768	3.12688	108	11
19.6	eta	5	1.26188	1.75904	0.00533331	1.39034	1.92363	71	10
19.6	eta	6	0.741088	1.03361	0.00314355	0.824487	1.14166	44	9
19.6	eta	7	0.394165	0.548471	0.00179773	0.443509	0.61207	26	7
19.6	eta	8	0.197875	0.271001	0.00148699	0.226217	0.30477	14	5
19.6	ome	0	1.76567	2.4826	0.00620743	8.15002	11.2864	338	2
19.6	ome	1	1.41111	1.98408	0.00478388	6.53148	9.04147	289	6
19.6	ome	2	1.07747	1.51035	0.000556986	4.99725	6.86589	225	9
19.6	ome	3	0.707207	1.00383	0.000100026	3.3179	4.61033	158	10
19.6	ome	4	0.452863	0.642216	1.37786e-05	2.16406	3.00615	108	11
19.6	ome	5	0.270886	0.385871	3.63681e-05	1.32406	1.85815	71	10
19.6	ome	6	0.155023	0.219495	7.26405e-05	0.779034	1.08395	44	9
19.6	ome	7	0.0797439	0.112113	7.45967e-05	0.414818	0.566015	26	7
19.6	ome	8	0.0380269	0.0534859	2.89936e-05	0.208506	0.284974	14	5
27	pi-	0	77.5917	6.37756	0.971311	179.288	18.5911	343	2
27	pi-	1	64.1377	5.26797	0.78142	149.125	15.403	299	6
27	pi-	2	47.663	3.32118	0.728729	109.233	8.18651	234	9
27	pi-	3	32.5997	2.12954	0.231612	76.1382	4.95304	166	11
27	pi-	4	21.329	1.3884	0.149728	50.1749	3.24162	114	11
27	pi-	5	13.1194	0.882117	0.238968	30.8475	2.14072	75	10
27	pi-	6	7.83942	0.536665	0.135521	18.8871	1.36319	47	9
27	pi-	6	7.83943	0.536657	0.135527	18.8872	1.36315	47	9
27	pi-	7	4.26178	0.316533	0.0912232	10.337	0.85169	27	8
27	pi-	8	2.08972	0.160643	0.0372866	5.16629	0.454197	14	6
27	pi+	0	75.3006	4.8229	0.95746	170.723	10.6047	343	2
27	pi+	1	62.693	4.43309	0.851277	143.446	11.1269	299	6
27	pi+	2	46.9555	3.23709	0.761556	106.8	7.82095	234	9
27	pi+	3	32.122	2.1016	0.241442	74.7681	4.87869	166	11
27	pi+	4	21.2897	1.3884	0.124466	50.3241	3.26569	114	11
27	pi+	5	12.9761	0.868086	0.252184	30.4634	2.08968	75	10
27	pi+	6	7.59827	0.517578	0.174335	17.9481	1.26766	47	9
27	pi+	7	4.2072	0.311621	0.0929833	10.1861	0.834603	27	8
27	pi+	8	2.02074	0.147065	0.0527254	4.93087	0.389653	14	6
27	pi0	0	76.403	5.64418	1.14447	176.283	14.9998	343	2
27	pi0	1	63.838	4.1852	0.561851	149.865	9.83702	299	6
27	pi0	2	47.6833	3.1271	0.497664	110.967	7.28535	234	9
27	pi0	3	32.4082	2.12607	0.277494	76.3795	5.02202	166	11
27	pi0	4	21.3443	1.39616	0.162961	50.8922	3.32926	114	11
27	pi0	5	13.2365	0.863848	0.0950868	31.9519	2.08364	75	10
27	pi0	6	7.85073	0.511688	0.0483885	19.2976	1.25791	47	9
27	pi0	7	4.24282	0.313803	0.0970699	10.4001	0.852427	27	8
27	pi0	8	2.05838	0.151366	0.0496892	5.11229	0.413884	14	6
27	ka-	0	13.3132	0.799202	0.0625593	15.6807	0.90894	343	2
27	ka-	1	10.9723	0.657285	0.0315757	12.9523	0.746939	299	6
27	ka-	2	8.37843	0.501501	0.0237403	9.93731	0.572535	234	9
27	ka-	3	5.66066	0.338344	0.0133832	6.75917	0.389012	166	11
27	ka-	4	3.54042	0.211181	0.00837633	4.25175	0.244186	114	11
27	ka-	5	2.14073	0.145906	0.00255226	2.61439	0.18459	75	10
27	ka-	6	1.18358	0.0811495	0.00185126	1.46374	0.10411	47	9
27	ka-	7	0.58455	0.0426293	0.00136107	0.733428	0.0566111	27	8
27	ka-	8	0.26242	0.0160196	0.000393194	0.33405	0.0196444	14	6
27	ka+	0	18.8194	1.13617	0.0966077	21.7216	1.26413	343	2
27	ka+	1	15.4955	0.935856	0.0667752	17.9745	1.047	299	6
27	ka+	2	11.6105	0.701631	0.0445149	13.5078	0.788026	234	9
27	ka+	3	7.69258	0.463605	0.0205491	9.00213	0.521714	166	11
27	ka+	4	4.83661	0.290748	0.00990735	5.71947	0.330651	114	11
27	ka+	5	2.94419	0.178132	0.00314678	3.54993	0.208285	75	10
27	ka+	6	1.61421	0.110311	0.00197645	1.96833	0.139276	47	9
27	ka+	7	0.807977	0.0564102	0.00139494	1.00445	0.0731529	27	8
27	ka+	8	0.356719	0.028342	0.000506933	0.450505	0.0387319	14	6
27	pba	0	8.40213	0.710942	0.0600412	3.62011	0.305975	343	2
27	pba	1	6.9912	0.587322	0.0515138	3.02264	0.253256	299	6
27	pba	2	5.46802	0.460818	0.0411805	2.37433	0.199988	234	9
27	pba	3	3.88054	0.31829	0.0253258	1.6977	0.138217	166	11
27	pba	4	2.61397	0.213135	0.0137738	1.15449	0.0934171	114	11
27	pba	5	1.69781	0.137445	0.00586955	0.756964	0.060783	75	10
27	pba	6	0.952187	0.0815639	0.0027613	0.429681	0.0369049	47	9
27	pba	7	0.521151	0.0448293	0.000715457	0.238258	0.0205463	27	8
27	pba	8	0.229539	0.0392061	5.36838e-05	0.106526	0.0194433	14	6
27	pro	0	7.86693	0.691672	0.0262214	18.2846	1.55646	343	2
27	pro	1	6.41128	0.599215	0.0190178	15.1241	1.41141	299	6
27	pro	2	4.76553	0.418052	0.0116613	11.4449	0.966637	234	9
27	pro	2	4.76553	0.418052	0.0116613	11.4449	0.966637	234	9
27	pro	3	3.06042	0.268668	0.00557462	7.57901	0.650895	166	11
27	pro	4	1.87514	0.16341	0.00203381	4.85473	0.411052	114	11
27	pro	5	1.07342	0.0930687	0.000391675	2.92316	0.246394	75	10
27	pro	6	0.559543	0.0484572	8.00588e-05	1.6146	0.138618	47	9
27	pro	7	0.269243	0.0261866	2.74336e-05	0.830746	0.123138	27	8
27	pro	8	0.103671	0.00897308	0.000124507	0.346091	0.0305794	14	6
27	eta	0	8.79119	12.1293	0.0475788	9.39455	12.7862	343	2
27	eta	1	7.23231	9.99848	0.0356762	7.74834	10.5788	299	6
27	eta	2	5.45204	7.52068	0.0277249	5.82647	7.92738	234	9
27	eta	3	3.65598	5.03939	0.0170423	3.92138	5.32984	166	11
27	eta	4	2.37494	3.27195	0.0102861	2.55914	3.47588	114	11
27	eta	5	1.4495	2.02293	0.00588074	1.57161	2.17778	75	10
