CollEn	Particle	Cent	dETdEta	dETdEta_err	dNdEta	dNdEta_err	npart	nparterr
39	pi0	6	8.82365	0.594272	0.173914	20.9459	1.45438	46	9
39	pi0	7	4.87555	0.355596	0.0121468	11.9689	0.949632	26	7
39	pi0	7	4.87555	0.316634	0.0121452	11.9689	0.770408	26	7
39	pi0	8	2.65779	0.172303	0.00649609	6.58743	0.422977	14	5
39	ka-	0	15.3075	0.915005	0.0568936	17.5922	1.00336	342	2
39	ka-	1	13.0791	0.778489	0.0466977	15.1664	0.86154	294	6
39	ka-	2	9.60075	0.578889	0.0252732	11.1407	0.644869	230	9
39	ka-	3	6.399	0.388811	0.0117789	7.49035	0.440121	162	10
39	ka-	4	4.12152	0.248832	0.00588223	4.85224	0.282318	111	11
39	ka-	5	2.50933	0.152612	0.00198446	3.01548	0.178415	74	10
39	ka-	6	1.45151	0.0877442	0.000961534	1.77079	0.104024	46	9
39	ka-	7	0.72425	0.0436985	0.000992563	0.884587	0.0516591	26	7
39	ka-	8	0.365391	0.0221691	0.000507336	0.451279	0.0264633	14	5
39	ka+	0	19.6161	1.17315	0.0945923	22.4651	1.28331	342	2
39	ka+	1	16.9864	1.02762	0.0598172	19.5004	1.13413	294	6
39	ka+	2	12.4099	0.744727	0.0340636	14.2636	0.816192	230	9
39	ka+	3	8.24936	0.49339	0.0131334	9.54575	0.543685	162	10
39	ka+	4	5.23813	0.317558	0.00771049	6.11526	0.357268	111	11
39	ka+	5	3.18129	0.216691	0.00261505	3.75919	0.257047	74	10
39	ka+	6	1.81401	0.110031	0.00125694	2.18627	0.128612	46	9
39	ka+	7	0.889176	0.0532384	0.0153916	1.05439	0.0607144	26	7
39	ka+	8	0.458787	0.0280529	0.000312396	0.557295	0.03294	14	5
39	pba	0	11.8962	0.985149	0.10326	5.1053	0.419171	342	2
39	pba	1	10.1631	0.840882	0.0852855	4.38701	0.36012	294	6
39	pba	2	7.51909	0.615431	0.0568177	3.251	0.263125	230	9
39	pba	3	5.19888	0.427749	0.0360379	2.26924	0.185414	162	10
39	pba	4	3.55928	0.282609	0.0677772	1.56158	0.121923	111	11
39	pba	5	2.24819	0.181994	0.00656529	0.996374	0.0799825	74	10
39	pba	6	1.34417	0.110755	0.00238968	0.603453	0.0495576	46	9
39	pba	7	0.714053	0.0554741	0.000150501	0.323958	0.0248395	26	7
39	pba	8	0.346912	0.0282155	3.81705e-05	0.159145	0.0129002	14	5
39	pro	0	7.01679	0.618381	0.028623	15.5844	1.30279	342	2
39	pro	1	5.80172	0.506348	0.0210736	13.2835	1.09042	294	6
39	pro	2	4.30211	0.378123	0.011963	9.97143	0.832309	230	9
39	pro	3	2.873	0.251045	0.00643901	6.7581	0.553187	162	10
39	pro	4	1.75888	0.153569	0.00181169	4.42181	0.368892	111	11
39	pro	5	1.0225	0.0884767	0.000783231	2.62744	0.212143	74	10
39	pro	6	0.55238	0.0482831	6.19796e-05	1.50822	0.128101	46	9
39	pro	7	0.2573	0.0222674	8.6428e-06	0.754653	0.0642029	26	7
39	pro	8	0.114233	0.0098344	1.53736e-05	0.355711	0.0300459	14	5
39	eta	0	9.59804	13.2626	0.0500494	10.0958	13.7712	342	2
39	eta	1	7.91726	10.8772	0.0407496	8.32045	11.2432	294	6
39	eta	2	6.07633	8.34236	0.0283314	6.40209	8.64185	230	9
39	eta	3	4.09084	5.65037	0.0172043	4.32171	5.89114	162	10
39	eta	4	2.64844	3.63218	0.0104372	2.80756	3.7841	111	11
39	eta	5	1.64953	2.27353	0.00601463	1.75891	2.39	74	10
39	eta	6	0.986412	1.35715	0.00268243	1.06076	1.43786	46	9
39	eta	7	0.527778	0.723115	0.000373788	0.572542	0.771201	26	7
39	eta	8	0.283097	0.39123	0.000701919	0.30852	0.421119	14	5
39	ome	0	2.30942	3.49034	0.0100756	10.1388	14.2961	342	2
39	ome	1	1.90954	2.90795	0.00823943	8.36083	11.802	294	6
39	ome	2	1.45278	2.04446	9.60557e-05	6.39407	8.73799	230	9
39	ome	3	0.976945	1.40861	0.0036919	4.31688	5.97355	162	10
39	ome	3	0.976945	1.40861	0.0036919	4.31688	5.97355	162	10
39	ome	4	0.627501	0.994531	0.00236608	2.79579	3.97352	111	11
39	ome	5	0.385656	0.5531	0.00143227	1.74295	2.41358	74	10
39	ome	6	0.226162	0.355936	0.000778	1.04243	1.4749	46	9
39	ome	7	0.118497	0.168631	0.000382334	0.557397	0.763737	26	7
39	ome	8	0.0640878	0.146843	0.00145411	0.300309	0.472853	14	5
62.4	pi-	0	85.9287	1.43127	0.967787	230.845	3.30017	347	3
62.4	pi-	1	69.7677	1.16249	0.677672	187.817	2.92976	294	4
62.4	pi-	2	53.1062	0.969468	0.328638	142.982	2.31701	230	5
62.4	pi-	3	36.8462	0.755316	0.29025	99.4051	1.88791	164	5
62.4	pi-	4	24.1658	0.344198	0.605469	65.1905	0.845947	114	5
62.4	pi-	5	15.8186	0.186974	0.276143	43.4009	0.422429	76	5
62.4	pi-	6	9.81974	0.163829	0.0447563	27.2219	0.434918	48	5
62.4	pi-	7	5.37682	0.106019	0.0287434	15.0666	0.298585	28	3
62.4	pi-	8	2.70714	0.0494443	0.0254665	7.77732	0.15444	15	2
62.4	pi+	0	84.3591	1.40742	0.927485	226.712	3.59754	347	3
62.4	pi+	1	68.8809	1.11192	1.06532	184.357	2.59514	294	4
62.4	pi+	2	51.3644	0.612733	1.36161	137.218	1.37227	230	5
62.4	pi+	3	36.1053	0.717012	0.19245	97.5798	1.98488	164	5
62.4	pi+	4	23.8185	0.283995	0.620758	64.2906	0.638522	114	5
62.4	pi+	5	15.5229	0.184595	0.375284	42.4764	0.417251	76	5
62.4	pi+	6	9.51382	0.113488	0.247772	26.2318	0.257381	48	5
62.4	pi+	7	5.49216	0.131302	0.0258012	15.6243	0.383693	28	3
62.4	pi+	8	2.69876	0.0498692	0.00635152	7.80089	0.157534	15	2
62.4	pi0	0	80.605	5.39512	1.06691	181.352	12.5806	347	3
62.4	pi0	1	66.3933	4.99836	0.958391	149.224	13.1827	294	4
62.4	pi0	2	85.5309	2.13587	3.14976	207.936	3.81267	230	5
62.4	pi0	3	63.7523	1.56613	2.57073	157.637	2.9836	164	5
62.4	pi0	4	43.6333	1.02921	1.96998	108.663	1.9258	114	5
62.4	pi0	5	28.9829	0.667438	1.39092	73.1454	1.2798	76	5
62.4	pi0	6	18.6471	0.436908	0.938722	47.9329	0.925059	48	5
62.4	pi0	7	11.2662	0.259493	0.674983	29.42	0.58243	28	3
62.4	pi0	8	6.22198	0.140342	0.357209	16.5048	0.315456	15	2
62.4	ka+	0	15.8762	1.59754	0.306344	20.4767	1.95513	347	3
62.4	ka+	1	13.8548	2.33445	0.383251	17.4285	2.61409	294	4
62.4	ka+	2	10.7067	2.57646	0.658987	13.0754	2.8004	230	5
62.4	ka+	3	8.01207	0.614994	0.508219	9.28449	0.756134	164	5
62.4	ka+	4	5.21371	1.33737	0.148315	6.1684	1.43704	114	5
62.4	ka+	5	2.93347	0.173192	0.185892	3.81927	0.230945	76	5
62.4	ka+	6	1.59768	0.149803	0.00178986	2.13158	0.187295	48	5
62.4	ka+	7	0.964125	0.236383	0.00618965	1.20565	0.274554	28	3
62.4	ka+	8	0.412526	0.0297908	0.000671748	0.534423	0.038508	15	2
62.4	ka-	0	13.5334	1.14377	0.659975	17.5124	1.48102	347	3
62.4	ka-	1	14.2867	1.17154	1.19539	15.98	1.4122	294	4
62.4	ka-	2	10.3385	1.8348	0.339743	11.7568	2.01382	230	5
62.4	ka-	3	7.23659	0.558103	0.466307	8.25893	0.682174	164	5
62.4	ka-	4	4.08753	0.238242	0.223168	5.15116	0.316305	114	5
62.4	ka-	5	2.60231	0.152421	0.16441	3.32946	0.202621	76	5
62.4	ka-	6	1.49848	0.0996192	0.0992971	1.95454	0.130828	48	5
62.4	ka-	7	0.784926	0.0476121	0.0539878	1.04026	0.063639	28	3
62.4	ka-	8	0.374885	0.0259761	0.00945263	0.492742	0.0339644	15	2
62.4	ka-	8	0.340176	0.0219016	0.0104551	0.468653	0.0293224	15	2
62.4	pba	0	16.9601	0.357029	0.762685	7.15172	0.156383	347	3
62.4	pba	1	13.7994	0.76862	0.599266	5.91408	0.437329	294	4
62.4	pba	2	11.7895	0.230317	1.37789	4.7896	0.100953	230	5
62.4	pba	3	7.38661	0.245005	0.0431626	3.21624	0.152753	164	5
62.4	pba	4	4.91817	0.109779	0.00642471	2.17503	0.0484401	114	5
62.4	pba	5	3.06709	0.0774853	0.0585864	1.38981	0.0363896	76	5
62.4	pba	6	1.85657	0.0467177	0.0249709	0.848891	0.0217651	48	5
62.4	pba	7	1.0421	0.0281122	0.00753637	0.479064	0.0132096	28	3
62.4	pba	8	0.484683	0.0292316	0.00752425	0.222943	0.0218671	15	2
62.4	pro	0	5.85746	0.230631	1.05316	14.1438	0.427056	347	3
62.4	pro	1	4.67051	0.10878	0.778317	11.5063	0.263801	294	4
62.4	pro	2	3.45103	0.0815376	0.5003	8.76306	0.19901	230	5
62.4	pro	3	2.18568	0.102612	0.234151	5.86968	0.224142	164	5
62.4	pro	4	1.60946	0.0344954	0.0608247	4.12564	0.0872697	114	5
62.4	pro	5	0.855853	0.0331658	0.0541999	2.49607	0.083399	76	5
62.4	pro	6	0.482756	0.0182551	0.0205055	1.48301	0.0480421	48	5
62.4	pro	7	0.239065	0.00663996	0.00661855	0.774685	0.0178127	28	3
62.4	pro	8	0.105855	0.0999817	0.00419561	0.348198	0.296187	15	2
62.4	eta	0	8.18194	20.4498	1.87834	9.35329	23.2209	347	3
62.4	eta	1	6.71466	17.0285	1.57739	7.64547	19.2463	294	4
62.4	eta	2	4.99869	13.3523	1.05192	5.75567	15.0446	230	5
62.4	eta	3	3.44578	10.2056	0.695663	3.97411	11.3898	164	5
62.4	eta	4	2.26773	3.20199	0.378582	2.64184	3.95246	114	5
62.4	eta	5	1.41836	2.38151	0.185965	1.68318	2.83285	76	5
62.4	eta	6	0.824993	1.63359	0.126504	1.00508	1.95303	48	5
62.4	eta	7	0.436067	0.801822	0.0561644	0.542379	0.981174	28	3
62.4	eta	8	0.207865	0.295595	0.0218734	0.263745	0.382249	15	2
62.4	ome	0	2.31016	3.58311	0.00933982	10.122	15.8025	347	3
62.4	ome	1	1.9099	3.33133	0.00788092	8.35276	15.3383	294	4
62.4	ome	2	1.75922	2.50818	0.00110119	9.38999	13.474	230	5
62.4	ome	3	1.24331	3.41169	0.0143837	6.84202	54.8503	164	5
62.4	ome	4	0.817985	20.1434	0.00898593	4.62748	471.77	114	5
62.4	ome	5	0.522721	0.727143	0.011958	3.02609	4.33163	76	5
62.4	ome	6	0.30866	0.457139	3.76572e-05	1.87069	3.34498	48	5
62.4	ome	7	0.173604	0.267916	0.0017545	1.10331	2.32756	28	3
62.4	ome	8	0.0917827	50.4247	0.00034911	0.599524	1503.85	15	2
200	pi+	0	124.191	1.82686	0.939324	312.541	3.82701	350	3
200	pi+	1	100.158	254.541	1.75036	251.652	963.084	299	4
200	pi+	2	75.6671	1.18689	1.45844	190.176	2.48647	234	5
200	pi+	3	53.998	174.34	0.730685	136.039	800.044	168	5
200	pi+	4	36.1884	0.582021	0.743374	92.8802	1.31921	117	5
200	pi+	5	23.3068	0.337242	0.129442	59.2642	0.7128	78	5
200	pi+	6	14.6052	0.202509	0.249622	37.969	0.433323	49	5
200	pi+	7	8.58044	0.163233	0.0629927	22.7502	0.412762	29	4
200	pi+	8	4.35148	0.0898281	0.0690924	11.7093	0.236051	16	3
200	pi-	0	124.093	5261.43	1.06487	320.135	12323.3	350	3
200	pi-	1	101.265	78.5968	1.41364	255.473	365.379	299	4
200	pi-	2	75.8577	1.93885	0.718761	192.872	4.28004	234	5
200	pi-	3	54.3698	0.798111	0.638356	136.96	1.65098	168	5
200	pi-	4	36.4582	0.596034	0.849477	92.7325	1.36653	117	5
200	pi-	4	36.7788	0.775595	0.528855	93.6304	1.85513	117	5
200	pi-	5	23.5786	0.542006	0.224692	60.8078	1.35045	78	5
200	pi-	6	14.6791	0.431406	0.126664	38.2096	1.18461	49	5
200	pi-	7	8.49464	0.178558	0.1353	22.4778	0.431974	29	4
200	pi-	8	4.35882	0.093013	0.0684594	11.8069	0.241181	16	3
200	pi0	0	80.605	5.39512	1.06691	181.352	12.5806	350	3
200	pi0	1	66.3933	4.99836	0.958391	149.224	13.1827	299	4
200	pi0	2	117.796	2.99031	6.90269	279.758	5.46855	234	5
200	pi0	3	87.9446	2.15667	5.78102	210.341	4.08905	168	5
200	pi0	4	64.9979	1.92528	3.82689	152.251	4.89942	117	5
200	pi0	5	42.8607	1.05721	2.78213	101.099	2.15478	78	5
200	pi0	6	27.8455	0.746391	1.84996	66.9291	1.82519	49	5
200	pi0	7	17.0116	0.378032	1.35627	41.225	0.745345	29	4
200	pi0	8	9.86861	0.245546	0.753316	24.569	0.596259	16	3
200	ka+	0	20.0294	2.00493	0.34405	24.2742	2.39669	350	3
200	ka+	1	16.2354	1.55882	0.0675379	19.8034	1.87374	299	4
200	ka+	2	12.882	0.876213	0.190864	15.8625	1.11444	234	5
200	ka+	3	8.82716	0.757397	0.109688	10.9673	0.928098	168	5
200	ka+	4	5.89064	0.516133	0.253852	7.42859	0.631229	117	5
200	ka+	5	3.91285	0.466827	0.40507	4.89211	0.545	78	5
200	ka+	6	2.11847	0.154661	0.0612713	2.89391	0.202279	49	5
200	ka+	7	1.17049	0.129163	0.0212624	1.62338	0.158417	29	4
200	ka+	8	0.636161	0.217975	0.0390437	0.839034	0.289445	16	3
200	ka-	0	20.0961	1.32377	0.0805644	23.9253	1.69205	350	3
200	ka-	1	14.7158	1.73407	1.08795	18.8275	2.05456	299	4
200	ka-	2	12.3403	1.09041	0.0820351	15.2502	1.32783	234	5
200	ka-	3	8.56756	0.485875	0.104301	10.5819	0.638105	168	5
200	ka-	4	5.92707	1.04594	0.344767	7.24864	1.15657	117	5
200	ka-	5	3.95631	0.306425	0.237203	4.81379	0.375048	78	5
200	ka-	6	2.06324	0.179513	0.0465742	2.80223	0.22703	49	5
200	ka-	7	1.15692	0.136088	0.00776301	1.59013	0.163313	29	4
200	ka-	8	0.616896	0.0436908	0.0128874	0.824875	0.0566308	16	3
200	pro	0	7.50201	0.198383	0.0358019	15.0037	0.441647	350	3
200	pro	1	5.04638	0.199809	0.44554	11.9944	0.403828	299	4
200	pro	2	3.61082	0.162873	0.352711	8.95074	0.318621	234	5
200	pro	3	2.4147	0.101363	0.110979	6.35532	0.213572	168	5
200	pro	4	1.51973	0.05716	0.0700786	4.21437	0.134804	117	5
200	pro	5	0.982852	0.0313348	0.0346567	2.83438	0.0841138	78	5
200	pro	6	0.634018	0.0157933	0.0358587	1.79305	0.0473424	49	5
200	pro	7	0.316139	0.015931	0.00875108	0.99429	0.0383216	29	4
200	pro	8	0.150676	0.00567966	0.00148953	0.496309	0.0174484	16	3
200	pba	0	27.805	0.832175	1.47197	11.6551	0.500193	350	3
200	pba	1	22.4141	0.469968	0.668708	9.51304	0.206516	299	4
200	pba	2	16.3505	0.430323	1.00321	7.12523	0.22379	234	5
200	pba	3	11.8154	0.258196	0.0456464	5.14138	0.122913	168	5
200	pba	4	7.92999	0.20641	0.0538909	3.48634	0.111654	117	5
200	pba	5	5.20544	0.115108	0.0789345	2.31688	0.0512621	78	5
200	pba	6	3.18088	0.11709	0.0413371	1.44527	0.0655702	49	5
200	pba	7	1.80845	0.0528769	0.00598953	0.830541	0.0253136	29	4
200	pba	8	0.926471	0.033443	0.00172647	0.428203	0.016134	16	3
200	eta	0	12.3279	26.2356	2.33635	14.0403	30.1477	350	3
200	eta	0	12.3279	26.2356	2.33635	14.0403	30.1477	350	3
200	eta	1	9.64988	19.0522	1.74918	11.0967	22.0871	299	4
200	eta	2	7.28715	14.901	1.32416	8.36912	17.2436	234	5
200	eta	3	5.00354	8.39194	0.577732	5.92915	10.0508	168	5
200	eta	4	3.25631	5.34721	0.312297	3.90323	6.45501	117	5
200	eta	5	2.07927	3.33274	0.194871	2.51218	4.05532	78	5
200	eta	6	1.26096	1.98318	0.103171	1.53819	2.43171	49	5
200	eta	7	0.805133	1.25423	0.0462991	0.937607	1.50842	29	4
200	eta	8	0.351662	0.530239	0.0204886	0.439757	0.664148	16	3
200	ome	0	2.30942	3.49034	0.0100756	10.1388	14.2961	350	3
200	ome	1	1.90954	2.90795	0.00823943	8.36083	11.802	299	4
200	ome	2	2.28501	3.21772	0.00367646	13.1692	18.116	234	5
200	ome	3	1.63735	2.37623	0.00464936	9.79745	13.8022	168	5
200	ome	4	1.30216	1.83638	0.00100114	7.45977	10.2911	117	5
200	ome	5	0.839506	138.026	0.00482919	4.88446	1312.18	78	5
200	ome	6	0.521553	0.730439	0.0037872	3.1233	4.24908	49	5
200	ome	7	0.302592	0.431547	0.000643607	1.88286	2.60957	29	4
200	ome	8	0.166949	0.234562	0.000672818	1.04495	1.44584	16	3
130	pi+	0	104.886	1.98035	2.06675	277.031	4.81149	344	3
130	pi+	1	85.0944	1.56317	1.21039	225.286	3.39285	289	5
130	pi+	2	70.1503	1.05786	1.47249	186.298	2.30619	237	7
130	pi+	3	52.2151	1.21572	0.683658	139.847	3.22003	187	8
130	pi+	4	38.795	1.02448	0.371104	104.196	2.53604	141	8
130	pi+	5	27.2811	0.703436	0.328429	74.7471	1.78651	100	9
130	pi+	6	15.6002	0.28553	0.0203919	43.0672	0.635461	61	8
130	pi+	7	6.03021	0.167585	0.127954	17.0108	0.443376	23	5
130	pi-	0	105.335	1.28463	2.57345	280.464	2.81807	344	3
130	pi-	1	85.752	1.9424	1.60886	230.2	4.53888	289	5
130	pi-	2	68.7437	1.05169	0.0625655	181.852	2.29891	237	7
130	pi-	3	52.4049	0.815953	0.697553	140.259	1.79659	187	8
130	pi-	4	39.2114	0.813497	1.0479	106.244	2.04504	141	8
130	pi-	5	26.2592	0.522959	0.138756	71.0059	1.2858	100	9
130	pi-	6	15.8069	1.29987	0.00744359	44.0313	2.52765	61	8
130	pi-	7	6.05809	0.146354	0.163924	17.1125	0.38071	23	5
130	pi0	0	104.919	1.29084	2.11325	279.843	2.83913	344	3
130	pi0	1	86.0437	2.59204	1.1494	232.051	6.27655	289	5
130	pi0	2	69.3566	1.0636	0.416095	185.574	2.33046	237	7
130	pi0	3	52.275	0.977529	0.503207	141.092	2.38679	187	8
130	pi0	4	39.0362	0.648371	0.78586	107.138	1.43029	141	8
130	pi0	5	26.5334	0.687757	0.0275149	72.3807	1.76113	100	9
130	pi0	6	15.5127	0.288995	0.163237	42.642	0.644515	61	8
130	pi0	7	6.05131	0.174644	0.128695	17.2365	0.477946	23	5
130	ka+	0	18.9431	1.39899	0.81239	24.9025	1.8022	344	3
130	ka+	1	16.5686	1.61942	0.284285	20.6141	1.98195	289	5
130	ka+	2	13.275	1.55464	0.160907	16.586	1.89389	237	7
130	ka+	3	10.625	1.8209	0.361239	13.0936	2.09241	187	8
130	ka+	4	8.01859	1.02483	0.0651187	9.82326	1.2319	141	8
130	ka+	5	5.13131	0.60396	0.247822	6.66274	0.748238	100	9
130	ka+	6	4.38906	0.317905	1.53586	4.51862	0.412051	61	8
130	ka+	7	1.032	0.159382	0.00199712	1.38905	0.19628	23	5
130	ka-	0	18.951	1.21891	0.260738	23.6898	1.58473	344	3
130	ka-	0	18.951	1.21891	0.260738	23.6898	1.58473	344	3
130	ka-	1	14.3768	1.57826	0.610442	18.6838	1.93037	289	5
130	ka-	2	12.3901	1.91187	0.0970255	15.3794	2.25228	237	7
130	ka-	3	9.54125	1.48514	0.178512	11.8774	1.75962	187	8
130	ka-	4	6.23772	0.79887	0.233794	8.35598	1.0083	141	8
130	ka-	5	4.24053	0.471513	0.296286	5.72899	0.605135	100	9
130	ka-	6	2.57069	0.346375	0.118389	3.45512	0.441767	61	8
130	ka-	7	1.1227	0.336041	0.0172875	1.4108	0.371148	23	5
130	pba	0	17.239	0.159934	1.93917	7.51295	0.0968391	344	3
130	pba	1	13.5083	0.213643	1.4359	5.98	0.15032	289	5
130	pba	2	10.9228	0.249833	0.887628	4.89374	0.142113	237	7
130	pba	3	8.81611	0.268354	0.454683	3.97174	0.177206	187	8
130	pba	4	6.72219	0.221234	0.397165	3.04812	0.145226	141	8
130	pba	5	4.689	0.100864	0.232727	2.15728	0.04751	100	9
130	pba	6	2.98974	0.078732	0.0393169	1.37555	0.0412484	61	8
130	pba	7	1.16326	0.0426985	0.0182196	0.544637	0.024227	23	5
130	pro	0	3.98351	0.0617727	1.47623	9.35454	0.186229	344	3
130	pro	1	2.97827	0.155084	0.918284	7.51954	0.268424	289	5
130	pro	2	2.26806	0.223226	0.608659	6.16338	0.363519	237	7
130	pro	3	1.66744	0.0611774	0.404809	4.84519	0.175485	187	8
130	pro	4	1.3456	0.0334733	0.146822	4.1432	0.124202	141	8
130	pro	5	0.862985	0.0168346	0.0728623	2.88419	0.077711	100	9
130	pro	6	0.60705	0.0191697	0.0454065	1.87428	0.0534222	61	8
130	pro	7	0.172569	0.00606367	0.010132	0.686362	0.0259399	23	5
130	eta	0	9.59023	22.0611	2.01706	11.0781	25.2547	344	3
130	eta	1	7.49685	15.7015	1.37745	8.86881	18.3193	289	5
130	eta	2	6.15691	13.542	1.1152	7.27549	15.7568	237	7
130	eta	3	4.77325	11.7309	0.477709	5.53544	13.3372	187	8
130	eta	4	3.29214	7.60084	0.430496	3.96184	8.80507	141	8
130	eta	5	2.21043	5.54048	0.270687	2.68723	6.38203	100	9
130	eta	6	1.26441	2.91841	0.116801	1.5597	3.41711	61	8
130	eta	7	0.449869	0.784127	0.0448489	0.570572	0.975505	23	5
130	ome	0	1.27152	18118.5	0.511639	9.36765	51920.4	344	3
130	ome	1	1.28126	2.56604	0.0153947	8.31034	10.2307	289	5
130	ome	2	1.05319	2.90851	0.0145736	6.80511	9.20772	237	7
130	ome	3	0.73805	2.3465	0.0111962	4.99828	7.08361	187	8
130	ome	4	0.507995	1.28315	0.00440579	3.60995	4.74876	141	8
130	ome	5	0.331883	0.843782	0.00242645	2.43819	3.216	100	9
130	ome	6	0.174666	0.390312	0.000935025	1.38794	1.77856	61	8
130	ome	7	0.05979	0.101179	0.000224426	0.505228	0.614027	23	5
